구,업종명,점포수
양천구,일식음식점,373.0
양천구,치킨전문점,258.0
양천구,패스트푸드점,208.0
영등포구,한식음식점,9286.0
영등포구,커피-음료,2973.0
영등포구,호프-간이주점,2897.0
영등포구,중식음식점,2240.0
영등포구,일식음식점,1173.0
영등포구,분식전문점,1164.0
영등포구,양식음식점,1072.0
영등포구,제과점,607.0
영등포구,패스트푸드점,500.0
영등포구,치킨전문점,255.0
용산구,한식음식점,5733.0
용산구,양식음식점,3672.0
용산구,커피-음료,3542.0
용산구,호프-간이주점,3029.0
용산구,분식전문점,1000.0
용산구,일식음식점,949.0
용산구,제과점,822.0
용산구,패스트푸드점,598.0
용산구,중식음식점,533.0
용산구,치킨전문점,227.0
은평구,한식음식점,5465.0
은평구,커피-음료,1717.0
은평구,호프-간이주점,1685.0
은평구,분식전문점,1051.0
은평구,제과점,581.0
은평구,일식음식점,441.0
은평구,양식음식점,437.0
은평구,중식음식점,384.0
은평구,패스트푸드점,289.0
은평구,치킨전문점,286.0
종로구,한식음식점,11254.0
종로구,커피-음료,5178.0
종로구,호프-간이주점,3529.0
종로구,양식음식점,1996.0
종로구,분식전문점,1631.0
종로구,일식음식점,1156.0
종로구,중식음식점,865.0
종로구,제과점,820.0
종로구,패스트푸드점,575.0
종로구,치킨전문점,299.0
중구,한식음식점,11620.0
중구,커피-음료,4842.0
중구,호프-간이주점,2499.0
중구,분식전문점,2310.0
중구,양식음식점,2091.0
중구,일식음식점,1376.0
중구,중식음식점,1295.0
중구,제과점,938.0
중구,패스트푸드점,512.0
중구,치킨전문점,235.0
중랑구,한식음식점,5806.0
중랑구,호프-간이주점,1823.0
중랑구,커피-음료,1335.0
중랑구,분식전문점,977.0
중랑구,제과점,407.0
중랑구,일식음식점,333.0
중랑구,중식음식점,305.0
중랑구,양식음식점,298.0
중랑구,치킨전문점,278.0
중랑구,패스트푸드점,181.0
