commercial_area,total_sales,total_shops,avg_sales_per_shop
면목골목시장(면목시장),53586174656.0,5196.0,10312966.639
삼성전자서울R&D(서울우면초등학교),2660717053.0,258.0,10312856.7946
상도전통시장,25908848972.0,2514.0,10305826.9578
마장역 3번,8870144592.0,864.0,10266371.0556
삼육보건대학교,38106454028.0,3720.0,10243670.4376
금북초등학교,3441603012.0,336.0,10242866.1071
수락산디자인거리,52458661705.0,5130.0,10225859.9815
쌍문역둘리상점가,12433686028.0,1218.0,10208280.8112
석촌역(석촌호수),148207930346.0,14526.0,10202941.6457
솔밭공원역 2번,18852307812.0,1848.0,10201465.2662
안암역 3번,47799784155.0,4686.0,10200551.4629
삼성산자연공원(서울금천초등학교),18719501343.0,1836.0,10195806.8317
월정로시장,6362052564.0,624.0,10195597.0577
서울시립대,13629684200.0,1338.0,10186610.0149
방이시장,74096424928.0,7278.0,10180877.2916
신정롯데캐슬아파트,40142585948.0,3948.0,10167828.2543
동대문구청,25528115890.0,2520.0,10130204.7183
등마루시장,971760298.0,96.0,10122503.1042
방이역 4번,118338552853.0,11748.0,10073080.7672
숭실대입구역 1번,38172486683.0,3798.0,10050681.0645
대방역 6번,3678086054.0,366.0,10049415.4481
미근동,14936714487.0,1488.0,10038114.5746
남문시장,28577466952.0,2850.0,10027181.3867
구로디지털단지,393729501967.0,39270.0,10026215.991
문정역 2번,34940184836.0,3486.0,10023001.961
북한산보국문역 1번,1081712344.0,108.0,10015855.037
대림역,118786829427.0,11880.0,9998891.3659
까치산역 3번,67909123100.0,6792.0,9998398.5718
은평요양병원,23153687796.0,2316.0,9997274.5233
중랑역 4번,6950890340.0,696.0,9986911.408
중랑동부시장,49055195991.0,4914.0,9982742.3669
마천중앙시장,34845851575.0,3492.0,9978766.2013
4.19민주묘지역 2번,12076917020.0,1212.0,9964452.9868
남가좌파출소,44400316853.0,4458.0,9959694.2245
답십리사거리,26942060267.0,2706.0,9956415.4719
경희대후문,9402315187.0,948.0,9918053.9947
뚝섬역,136479566286.0,13764.0,9915690.663
창신골목시장,23963962600.0,2418.0,9910654.5079
서교시장,2376045909.0,240.0,9900191.2875
송정역 3번,52829329219.0,5340.0,9893132.8125
종암경찰서,45523460745.0,4620.0,9853562.9318
신방화역 2번,78935136123.0,8070.0,9781305.5914
사당시장,704108476.0,72.0,9779284.3889
구로4동주민센터,62763390239.0,6420.0,9776229.0092
이수역 5번,11554137239.0,1182.0,9775073.8063
서촌(경복궁역),103136511874.0,10560.0,9766715.1396
"신촌역(신촌역, 신촌로터리)",407157348485.0,41742.0,9754140.8769
도봉산역 1번,22696753726.0,2328.0,9749464.6589
수락산역 4번,71189764429.0,7302.0,9749351.4693
숙대입구,67145487709.0,6888.0,9748183.4653
천호역,327929420223.0,33642.0,9747619.6487
서울역 15번,17048955221.0,1752.0,9731138.8248
KB국민은행 중화동지점,5525173851.0,570.0,9693287.4579
숭인시장,20586164413.0,2124.0,9692167.8027
선릉역,530157780561.0,54840.0,9667355.5901
동묘앞역(동묘),88961216278.0,9210.0,9659198.2929
정릉3동주민센터,2839488470.0,294.0,9658124.0476
충정로현대아파트,7691039955.0,798.0,9637894.6805
화양제일골목시장,10463307944.0,1086.0,9634721.8637
독산동정훈단지,20676650316.0,2148.0,9626001.0782
금천세무서,5424551749.0,564.0,9617999.555
"솔샘시장(미아6,7동골목시장)",18601693079.0,1938.0,9598396.8416
신아타운,32210581576.0,3360.0,9586482.6119
상월곡역 3번,4659016066.0,486.0,9586452.8107
강동구청역,85150918171.0,8898.0,9569669.3831
마포역,107700511738.0,11286.0,9542841.7276
"남부골목시장(남부화곡시장, 남부시장)",75297790444.0,7896.0,9536194.3318
명일전통시장,15836622215.0,1662.0,9528653.559
성신여대,224957866960.0,23610.0,9528075.6866
제기동역 6번,41455187668.0,4356.0,9516801.5767
목사랑시장(목4동시장),20948583433.0,2202.0,9513434.8015
삼각산119안전센터,4050024239.0,426.0,9507099.1526
묵1동도깨비시장,10206495945.0,1074.0,9503255.0698
메디힐병원,31129587105.0,3294.0,9450390.7423
개나리아파트,56989442211.0,6036.0,9441590.8236
충정로역 3번,6567511801.0,696.0,9436080.1739
은행사거리,155438777388.0,16476.0,9434254.5149
서울역 12번,35121747324.0,3726.0,9426126.496
신대방역 4번,35112879903.0,3726.0,9423746.6192
우장산역 4번,58755145979.0,6240.0,9415888.7787
뱅뱅사거리,282526878992.0,30084.0,9391267.0852
거여역 1번(거여공원),31901828754.0,3402.0,9377374.7072
상봉역,118419079985.0,12648.0,9362672.3581
상봉역 3번,42724487952.0,4566.0,9357093.2878
르네상스호텔사거리,68399459109.0,7320.0,9344188.4029
상일여고(상일초등학교),66094046755.0,7074.0,9343235.3343
남대문시장(자유상가),496547877432.0,53418.0,9295516.0701
서울고교교차로,16720594619.0,1806.0,9258358.0393
경찰병원역,113586104879.0,12270.0,9257221.2615
정릉역 1번,35552241164.0,3846.0,9243952.4607
증산역 1번,12140423132.0,1314.0,9239287.0107
용산구청,26218492273.0,2838.0,9238369.3703
석촌고분역 3번,22097724843.0,2394.0,9230461.505
새절역 2번,5246857776.0,570.0,9205013.6421
삼전역 4번,70614844547.0,7674.0,9201830.1469
가락시장역,163009969723.0,17718.0,9200246.6262
풍납시장,31545020984.0,3432.0,9191439.6807
효창공원앞역 6번,15957343036.0,1740.0,9170886.8023
신원동주민센터,20438824129.0,2232.0,9157179.2693
한국교통안전공단 강남자동차검사소,5603697887.0,612.0,9156369.0964
신한은행 신월동지점,35373713321.0,3864.0,9154687.7125
염곡동 구룡사(포이동성당),46451569898.0,5076.0,9151215.5039
도봉세무서,14470359081.0,1584.0,9135327.7027
마포경찰서,1095512611.0,120.0,9129271.7583
녹두거리(대학동),76608816338.0,8394.0,9126616.1947
뜸부기어린이공원,20086838864.0,2202.0,9122088.4941
응암1동주민센터,7653854608.0,840.0,9111731.6762
장승배기역 4번,24027648855.0,2640.0,9101382.142
금남시장,18442026176.0,2028.0,9093701.2702
호림박물관(성보고등학교),8178331210.0,900.0,9087034.6778
하나은행 망우동지점,12263810664.0,1350.0,9084304.1956
방화초등학교,5230748782.0,576.0,9081161.0799
봉은사역,70348441211.0,7764.0,9060850.2333
청구역 3번,24485023356.0,2706.0,9048419.5698
장충동주민센터,13615939735.0,1506.0,9041128.6421
성미산체육관,7352074624.0,816.0,9009895.3725
연희임광아파트,3296829866.0,366.0,9007731.8743
황학동주방가구거리상점가,22958309637.0,2550.0,9003258.6812
홍연시장,6205088108.0,690.0,8992881.3159
봉천중앙시장,5286698522.0,588.0,8990983.881
삼양입구사거리,15472825486.0,1722.0,8985380.6539
서울여자간호대학교,11643949285.0,1296.0,8984528.7693
망우3동주민센터,5173498625.0,576.0,8981768.4462
불광역,23436674442.0,2610.0,8979568.7517
교대입구교차로,111835500588.0,12456.0,8978444.1705
군자역 5번,12331731716.0,1374.0,8975059.4731
솔밭공원역 1번,3499782082.0,390.0,8973800.2103
독산동,143741933146.0,16050.0,8955883.6851
흑리단길,18758595273.0,2100.0,8932664.4157
답십리공원,11650216791.0,1308.0,8906893.5711
방학초등학교,21814159577.0,2454.0,8889225.5815
인사동,142512052861.0,16032.0,8889224.8541
면목역 2번,36236911059.0,4086.0,8868553.8568
배문고등학교,13718655613.0,1548.0,8862180.6286
남영역 1번,28912756807.0,3264.0,8858075.0021
상왕십리역 3번,17533071296.0,1980.0,8855086.5131
상암동상점가,83121254918.0,9390.0,8852103.8251
고덕중학교(고덕2동주민센터),8494431889.0,960.0,8848366.551
미성초등학교,29888522603.0,3378.0,8847993.6658
금산초등학교(금천고등학교),24240632502.0,2742.0,8840493.2538
금호사거리,6840038803.0,774.0,8837259.4354
경의중앙 신촌역,7845313784.0,888.0,8834812.8198
삼전역 3번,34174936673.0,3870.0,8830732.9904
구로나눔길,17264424297.0,1956.0,8826392.7899
강동역 4번(강풀만화거리),71223272991.0,8070.0,8825684.3855
보문역 4번,11588722624.0,1314.0,8819423.6104
북가좌2동주민센터,29999398871.0,3402.0,8818165.453
효창공원앞역 5번,27817375809.0,3156.0,8814124.1473
송정역 2번,3116178813.0,354.0,8802765.0085
답십리시장,16108613571.0,1830.0,8802521.077
답십리현대시장,9610720613.0,1092.0,8801026.2024
리움미술관,7550273713.0,858.0,8799852.8124
상도역 1번,4110292332.0,468.0,8782675.9231
발산역 5번,19169872478.0,2184.0,8777414.1383
남산골공원옆,2313445386.0,264.0,8763050.7045
관악신사시장,26434809009.0,3018.0,8759048.7107
면목2동체육관,29766016087.0,3402.0,8749563.8116
구산역 4번,44993541690.0,5148.0,8740004.2133
서교동(홍대),114858288727.0,13158.0,8729160.11
전농로터리시장,13963306063.0,1602.0,8716171.0755
신월7동주민센터,16970556120.0,1950.0,8702849.2923
장충단 고개,15341582732.0,1764.0,8697042.3651
강남언주로,19981087258.0,2304.0,8672346.9002
방배역 3번,5047129516.0,582.0,8672043.8419
화원중학교,22689676803.0,2622.0,8653576.2025
명동역(명동재미로),144649432141.0,16752.0,8634755.9779
강서구청옆,6056415458.0,702.0,8627372.4473
망우역 1번,14182564836.0,1644.0,8626864.2555
서울시흥동우체국(홈플러스시흥점),35162472495.0,4080.0,8618253.0625
신성시장(신성골목시장),12717381724.0,1476.0,8616112.2791
모래내우체국,30781388460.0,3576.0,8607770.8221
보인중학교,20425408823.0,2376.0,8596552.5349
신대방삼거리역 4번(대림초등학교),1237527423.0,144.0,8593940.4375
은평세무서,14577883753.0,1698.0,8585326.1207
"대림골목시장(대림시장, 양지시장)",26610217754.0,3102.0,8578406.755
창동신창시장,31783907408.0,3708.0,8571711.8145
사당역 4번,50224877302.0,5862.0,8567873.9853
신대방역 1번,6775846382.0,792.0,8555361.5934
망원나들목체육관,2975758251.0,348.0,8551029.4569
삼광초등학교,4870417158.0,570.0,8544591.5053
