commercial_area,time,total_sales
가리봉파출소,11-14,329931834.0
가리봉파출소,14-17,105886476.0
가리봉파출소,17-21,390302865.0
가리봉파출소,21-24,341048691.0
가산동우체국,00-06,1645099601.0
가산동우체국,06-11,183798110.0
가산동우체국,11-14,1111640920.0
가산동우체국,14-17,586266603.0
가산동우체국,17-21,3316675177.0
가산동우체국,21-24,3524216183.0
가산동주민센터,00-06,775890759.0
가산동주민센터,06-11,153469310.0
가산동주민센터,11-14,2440105642.0
가산동주민센터,14-17,968347413.0
가산동주민센터,17-21,5860553090.0
가산동주민센터,21-24,4050684117.0
가산디지털단지,00-06,3024518494.0
가산디지털단지,06-11,20903332025.0
가산디지털단지,11-14,134349560492.0
가산디지털단지,14-17,21698210558.0
가산디지털단지,17-21,73690614962.0
가산디지털단지,21-24,26537862140.0
가산디지털단지역 1번 출입구,00-06,132458607.0
가산디지털단지역 1번 출입구,06-11,1994722.0
가산디지털단지역 1번 출입구,11-14,229971349.0
가산디지털단지역 1번 출입구,14-17,146625762.0
가산디지털단지역 1번 출입구,17-21,3816357106.0
가산디지털단지역 1번 출입구,21-24,2159614747.0
가산초등학교(세일중학교),00-06,104626864.0
가산초등학교(세일중학교),06-11,268431174.0
가산초등학교(세일중학교),11-14,1956039212.0
가산초등학교(세일중학교),14-17,626445015.0
가산초등학교(세일중학교),17-21,2682940858.0
가산초등학교(세일중학교),21-24,655276473.0
가양역 10번,00-06,101735450.0
가양역 10번,06-11,331961159.0
가양역 10번,11-14,1908449902.0
가양역 10번,14-17,986383148.0
가양역 10번,17-21,2548284618.0
가양역 10번,21-24,731049993.0
가오리역 1번,00-06,57852012.0
가오리역 1번,06-11,154162167.0
가오리역 1번,11-14,631208941.0
가오리역 1번,14-17,306324039.0
가오리역 1번,17-21,944226649.0
가오리역 1번,21-24,339075152.0
가오리역 2번,00-06,66062170.0
가오리역 2번,06-11,104249891.0
가오리역 2번,11-14,1313568334.0
가오리역 2번,14-17,489387122.0
가오리역 2번,17-21,1225939168.0
가오리역 2번,21-24,328055366.0
가인초등학교,00-06,1842052.0
가인초등학교,06-11,84940665.0
가인초등학교,11-14,1419750843.0
가인초등학교,14-17,620721440.0
가인초등학교,17-21,1594641111.0
가인초등학교,21-24,341063350.0
가좌역 2번,00-06,287817266.0
가좌역 2번,06-11,10968621.0
가좌역 2번,11-14,474037948.0
가좌역 2번,14-17,160293543.0
가좌역 2번,17-21,1164583212.0
가좌역 2번,21-24,700150503.0
가좌역 3번,00-06,207894207.0
가좌역 3번,06-11,26868397.0
가좌역 3번,11-14,58404534.0
가좌역 3번,14-17,72144583.0
가좌역 3번,17-21,234970064.0
가좌역 3번,21-24,290878578.0
간데메공원,00-06,130020818.0
간데메공원,06-11,405597312.0
간데메공원,11-14,1408908351.0
간데메공원,14-17,728118955.0
간데메공원,17-21,1456209234.0
간데메공원,21-24,626089837.0
갈산공원,00-06,0.0
갈산공원,06-11,89438719.0
갈산공원,11-14,1091866921.0
갈산공원,14-17,623846008.0
갈산공원,17-21,1487853521.0
갈산공원,21-24,142517101.0
갈현건영아파트,00-06,45639.0
갈현건영아파트,06-11,3537904.0
갈현건영아파트,11-14,74761650.0
갈현건영아파트,14-17,24723040.0
갈현건영아파트,17-21,64508093.0
갈현건영아파트,21-24,18862264.0
강남 마이스 관광특구,00-06,250050634.0
강남 마이스 관광특구,06-11,5014191019.0
강남 마이스 관광특구,11-14,45194297541.0
강남 마이스 관광특구,14-17,31648632090.0
강남 마이스 관광특구,17-21,48910604153.0
강남 마이스 관광특구,21-24,6635547898.0
강남개포시장,00-06,534072444.0
강남개포시장,06-11,1230684722.0
강남개포시장,11-14,6327383934.0
강남개포시장,14-17,3645218006.0
강남개포시장,17-21,11391870810.0
강남개포시장,21-24,4277908458.0
강남골목시장,00-06,235307081.0
강남골목시장,06-11,10114336.0
강남골목시장,11-14,668810621.0
강남골목시장,14-17,216859805.0
강남골목시장,17-21,1446790662.0
강남골목시장,21-24,618541212.0
"강남구청(청담역_8번, 강남세무서)",00-06,581145139.0
"강남구청(청담역_8번, 강남세무서)",06-11,780143983.0
"강남구청(청담역_8번, 강남세무서)",11-14,8850924170.0
"강남구청(청담역_8번, 강남세무서)",14-17,2387900090.0
"강남구청(청담역_8번, 강남세무서)",17-21,6784803658.0
"강남구청(청담역_8번, 강남세무서)",21-24,2600924323.0
강남구청역,00-06,4555211089.0
강남구청역,06-11,3632998887.0
강남구청역,11-14,32183261120.0
강남구청역,14-17,7983887220.0
강남구청역,17-21,27827879027.0
강남구청역,21-24,16761083531.0
강남구청역 2번,00-06,188304869.0
강남구청역 2번,06-11,43358048.0
강남구청역 2번,11-14,1222429945.0
강남구청역 2번,14-17,210621636.0
강남구청역 2번,17-21,1158376728.0
강남구청역 2번,21-24,952254818.0
강남구청역 4번,00-06,0.0
강남구청역 4번,06-11,1518366.0
강남구청역 4번,11-14,105340032.0
강남구청역 4번,14-17,61149982.0
강남구청역 4번,17-21,100626397.0
강남구청역 4번,21-24,72641205.0
강남세브란스병원미래의학연구센터,00-06,13757087.0
강남세브란스병원미래의학연구센터,06-11,66785636.0
강남세브란스병원미래의학연구센터,11-14,235268674.0
강남세브란스병원미래의학연구센터,14-17,58350565.0
강남세브란스병원미래의학연구센터,17-21,120248431.0
강남세브란스병원미래의학연구센터,21-24,111091308.0
강남시장(강남구 강남시장),00-06,877376934.0
강남시장(강남구 강남시장),06-11,153878473.0
강남시장(강남구 강남시장),11-14,1821525055.0
