commercial_area,lunch_sales,total_sales,total_shops,lunch_per_shop,total_per_shop,lunch_index
송파책박물관,382015064.0,760000038.0,126.0,3031865.587301587,6031746.333333333,0.5026513748674313
충정로현대아파트,1355919540.0,2700492340.0,738.0,1837289.349593496,3659203.712737127,0.5021008650592951
대흥동주민센터,796179503.0,1588258844.0,288.0,2764512.1631944445,5514787.652777778,0.5012907726015471
용산전자상가(용산역),15403509379.0,30752478893.0,3138.0,4908702.79764181,9800025.141172722,0.5008867555878953
중암중학교,84563012.0,169195101.0,180.0,469794.5111111111,939972.7833333333,0.4997958658389287
고척초등학교,154460697.0,309126446.0,216.0,715095.8194444445,1431140.9537037036,0.4996683363674424
성수2가3동주민센터,1146741195.0,2302919126.0,522.0,2196822.2126436783,4411722.463601532,0.4979511360400244
중구청(퇴계로4가),3184239803.0,6397001843.0,846.0,3763876.8356973995,7561467.8995271865,0.4977706558712961
바우뫼공원,2355201462.0,4735348802.0,420.0,5607622.528571429,11274640.004761904,0.4973659936107068
문정동성당,1610962051.0,3243729409.0,306.0,5264581.8660130715,10600422.905228758,0.4966388523439255
사근동살곶이상점가,2596344431.0,5231286828.0,852.0,3047352.618544601,6140008.014084507,0.49631085359405186
학동초등학교,247233167.0,498399763.0,36.0,6867587.972222222,13844437.861111112,0.49605394174314643
청계산입구역 2번(내곡동주민센터),2785607861.0,5627302856.0,252.0,11053999.448412698,22330566.888888888,0.49501651719880346
영등포구청역 2번,4631823959.0,9421802367.0,1086.0,4265031.269797422,8675692.787292818,0.49160699604812674
창신역 4번,593999704.0,1208424818.0,252.0,2357141.6825396824,4795336.579365079,0.4915487460635718
논현역 5번,388734411.0,791443176.0,84.0,4627790.607142857,9421942.57142857,0.4911715999178696
시청역_8번,46303592619.0,95264815276.0,2502.0,18506631.742206234,38075465.737809755,0.48605135573768576
신목동역,1373131.0,2830464.0,66.0,20805.015151515152,42885.818181818184,0.4851257602993714
종로4가,4931049069.0,10198940081.0,984.0,5011228.728658536,10364776.505081302,0.4834864240634418
성미산체육관,1976968463.0,4093928267.0,462.0,4279152.517316017,8861316.595238095,0.482902565473798
가산디지털단지,134349560492.0,280204098671.0,20034.0,6706077.692522711,13986428.005939903,0.4794703615300993
강서구청가양동별관,460640813.0,960913139.0,120.0,3838673.441666667,8007609.491666666,0.4793782021540243
남대문시장(자유상가),20293889582.0,42383115350.0,3714.0,5464159.822832526,11411716.572428647,0.4788201484108223
신대방역 3번,181577741.0,380607642.0,54.0,3362550.7592592593,7048289.666666667,0.4770732927112378
둔촌고등학교(둔촌중학교),256393206.0,537622361.0,264.0,971186.3863636364,2036448.3371212122,0.47690204983865986
서초역,44683580111.0,93776827123.0,5598.0,7982061.470346552,16751844.787959985,0.4764885044830096
마포FM,647800527.0,1359743745.0,438.0,1478996.6369863013,3104437.7739726026,0.4764136841092805
광진초등학교,495258146.0,1045778365.0,408.0,1213868.0049019607,2563182.2671568627,0.47357849672095675
도봉역 3번,1343927557.0,2846831727.0,750.0,1791903.4093333334,3795775.636,0.47207832632111174
양천향교역 2번,1778047262.0,3773336622.0,474.0,3751154.5611814344,7960625.784810127,0.4712135280041813
혜회동주민센터,2998724989.0,6365620780.0,630.0,4759880.934920635,10104159.968253968,0.4710813120413372
휘문고교사거리,2135866133.0,4534544154.0,408.0,5234966.012254902,11114078.80882353,0.4710211347519718
종로구청,27385304708.0,58170723946.0,2814.0,9731806.932480454,20671899.056858566,0.4707746930126197
대림상가(청계상가),295795284.0,628861354.0,294.0,1006106.4081632653,2138984.1972789117,0.47036645218939627
서빙고동주민센터,797001741.0,1701248496.0,48.0,16604202.9375,35442677.0,0.4684804970431551
문정역,29921833873.0,64288887819.0,14298.0,2092728.624492936,4496355.281787663,0.46542777279399244
연희초등학교,384799962.0,827663092.0,414.0,929468.5072463768,1999186.2125603864,0.4649234280462515
문래역 3번,550735807.0,1184937003.0,18.0,30596433.722222224,65829833.5,0.46478066395568546
흑석시장,633474313.0,1363538470.0,360.0,1759650.8694444445,3787606.861111111,0.4645811811968899
성곡미술관,7736085124.0,16799287606.0,1026.0,7540043.9805068225,16373574.664717348,0.46050078464261757
서울역 12번,14852437484.0,32254871717.0,2472.0,6008267.590614887,13048087.264158577,0.4604711379512941
구암초등학교,273428039.0,594017080.0,444.0,615828.9166666666,1337876.3063063063,0.4603033283150713
월계역 3번,845087263.0,1839676023.0,336.0,2515140.663690476,5475226.258928572,0.4593674388504002
이화달팽이길,1093693421.0,2387020391.0,1044.0,1047599.0622605364,2286417.9990421454,0.4581835266777158
63빌딩,8583067090.0,18771169350.0,924.0,9289033.647186147,20315118.344155844,0.4572473312644212
숙대입구역 1번,2419977885.0,5304744027.0,624.0,3878169.6875,8501192.350961538,0.4561912644008525
성수1가1동주민센터,1106250889.0,2428969841.0,438.0,2525686.9611872146,5545593.244292238,0.45544035595952875
송파나루역 3번,262111543.0,576687882.0,120.0,2184262.8583333334,4805732.35,0.4545119659719155
방배초등학교,969205392.0,2134786429.0,882.0,1098872.3265306123,2420392.776643991,0.45400578663693575
서울서부지방법원,8201272323.0,18084825128.0,2658.0,3085505.01241535,6803922.170052671,0.45348916923184973
장로회신학대학교,803306606.0,1776100739.0,450.0,1785125.7911111112,3946890.531111111,0.45228662336590586
마포경찰서,418245667.0,927368374.0,48.0,8713451.395833334,19320174.458333332,0.4510027285015006
문래중학교,17400879.0,38674375.0,132.0,131824.8409090909,292987.6893939394,0.4499330370561903
연희임광아파트,1229433720.0,2744224185.0,120.0,10245281.0,22868534.875,0.44800775633423695
국회의사당역(국회의사당),110953530066.0,247942852592.0,11268.0,9846781.156017039,22004158.02200923,0.44749638437280753
내방역 1번,68906084.0,154003012.0,108.0,638019.2962962963,1425953.8148148148,0.4474333527970219
청담역 12번,69028217.0,154381613.0,48.0,1438087.8541666667,3216283.6041666665,0.44712719124135597
이화사거리,9414553273.0,21101403288.0,1464.0,6430705.787568306,14413526.836065574,0.4461576865058018
등촌1동주민센터,7136656264.0,16048119915.0,2256.0,3163411.4645390073,7113528.331117021,0.44470357286709
서울시청,45779617357.0,103263389460.0,2832.0,16165119.123234464,36463061.25,0.4433286336657887
경찰청앞교차로,4241672790.0,9586887887.0,378.0,11221356.587301588,25362137.26719577,0.4424452272725321
이대 앞 스타트업 상점가,1167400178.0,2638974023.0,816.0,1430637.4730392157,3234036.7928921566,0.44236895392888076
창동중학교,1072675728.0,2427538547.0,72.0,14898274.0,33715813.152777776,0.44187793817965687
회기역 2번,58207190.0,132000000.0,120.0,485059.9166666667,1100000.0,0.4409635606060606
영등포유통상가,2878772247.0,6533510421.0,312.0,9226834.125,20940738.528846152,0.440616462131453
영등포동성당,223493023.0,508026975.0,168.0,1330315.613095238,3023970.089285714,0.4399235355563551
월드컵경기장역(월드컵경기장),4713034821.0,10736084317.0,480.0,9818822.54375,22366842.327083334,0.438990108669058
관악소방서(문영여고),857725997.0,1956214854.0,168.0,5105511.886904762,11644136.035714285,0.43846206118216097
신아타운,426755409.0,975242364.0,258.0,1654090.7325581396,3780009.1627906975,0.43758908016428216
곰달래도서관,433288255.0,992077544.0,510.0,849584.8137254902,1945250.0862745098,0.4367483747822842
뚝섬역상점가,9885384683.0,22687539447.0,1854.0,5331922.698489752,12237076.29288026,0.43571867747461507
봉원사,1652272058.0,3797860426.0,168.0,9834952.726190476,22606312.05952381,0.4350533912959549
중부경찰서(영화인의거리),15739724479.0,36182398917.0,4002.0,3932964.6374312844,9041079.189655172,0.43501052860275724
문래동사거리,1661248043.0,3821711041.0,264.0,6292606.223484849,14476178.18560606,0.4346869831805267
성동초등학교,656791683.0,1511473017.0,372.0,1765569.0403225806,4063099.5080645164,0.43453748470059517
국립국악고등학교,2048368303.0,4720738907.0,228.0,8984071.504385965,20704995.20614035,0.43390840784747514
성심여자고등학교,1675970040.0,3865972484.0,780.0,2148679.5384615385,4956374.97948718,0.43351835713686365
남태령역(서울전자고등학교),25841919.0,59902719.0,36.0,717831.0833333334,1663964.4166666667,0.43139809730506556
잠실나루역,519318036.0,1205848156.0,240.0,2163825.15,5024367.316666666,0.43066619409417584
청량리농수산물시장,962184104.0,2237927090.0,576.0,1670458.513888889,3885290.0868055555,0.4299443481869644
광화문역,89674085178.0,208756196547.0,13464.0,6660285.589572192,15504768.014483066,0.42956370474880967
종로6가,4061677532.0,9465082667.0,1092.0,3719484.9194139196,8667658.11996337,0.42912224593251935
강동구청(강동구청역 2번),316674812.0,740929980.0,288.0,1099565.3194444445,2572673.5416666665,0.4274018065782681
서울국제고등학교,1887727520.0,4419750748.0,1122.0,1682466.5953654188,3939171.789661319,0.42711175983266103
영등포청과시장교차로,2822459154.0,6617079221.0,1416.0,1993262.1144067796,4673078.545903955,0.42654153890777485
경동시장,1308148043.0,3067574349.0,702.0,1863458.7507122508,4369764.02991453,0.42644379375073466
중부시장(신중부시장),3555463233.0,8339871609.0,1194.0,2977774.90201005,6984817.092964824,0.4263210993755719
개나리아파트,7306742244.0,17150173586.0,2226.0,3282453.8382749325,7704480.496855346,0.426044798168377
내방역 4번,1486924321.0,3490838499.0,366.0,4062634.756830601,9537810.106557377,0.4259504762039122
천동초등학교,317068826.0,745442931.0,216.0,1467911.2314814816,3451124.6805555555,0.42534285699732527
본동인정시장(기능상실),82802841.0,194679749.0,96.0,862529.59375,2027914.0520833333,0.4253284762556377
은곡마을(은곡마을공원),1379352584.0,3246756957.0,192.0,7184128.041666667,16910192.484375,0.42484011038341485
인사동,40865418078.0,96197241601.0,7758.0,5267519.731631864,12399747.563934004,0.42480862650405965
문래소공원,914275101.0,2154110256.0,168.0,5442113.696428572,12822084.857142856,0.4244328248535112
성북초등학교앞,2868037650.0,6761543920.0,630.0,4552440.714285715,10732609.396825397,0.42416904836136893
돈의문센트레빌아파트입구,133349993.0,314720732.0,24.0,5556249.708333333,13113363.833333334,0.42370895667591413
석촌고분역 3번,1171466067.0,2771546877.0,684.0,1712669.6885964912,4051969.1184210526,0.4226758986909244
구반포역,238892420.0,565587465.0,318.0,751234.0251572327,1778576.933962264,0.4223792689606372
경찰병원역 4번(건너말공원),677388449.0,1606616296.0,402.0,1685045.8930348258,3996557.9502487564,0.4216242862010656
미아사거리,2537242377.0,6018605158.0,1188.0,2135725.9065656564,5066165.957912458,0.42156651090950326
장지역(가든파이브),17241504812.0,40962387891.0,3078.0,5601528.52891488,13308118.22319688,0.42091063777529913
당산2동(영등포우체국),8967046046.0,21321623926.0,1704.0,5262350.965962442,12512690.09741784,0.4205611203500035
역삼역 4번,298089505.0,710121627.0,216.0,1380044.0046296297,3287600.125,0.4197724638514636
난곡중학교,268784999.0,641009107.0,384.0,699960.9348958334,1669294.5494791667,0.41931541387601534
효창공원앞역 2번,1764769827.0,4211151713.0,516.0,3420096.5639534886,8161146.730620155,0.41907058858793483
논현초등학교,2717831240.0,6498516331.0,1416.0,1919372.3446327683,4589347.69138418,0.4182233453865579
선유도역 6번,7135092690.0,17156150281.0,1014.0,7036580.562130177,16919280.35601578,0.41589124443039727
염창역 2번,1230698231.0,2965636753.0,120.0,10255818.591666667,24713639.608333334,0.4149861677277372
삼성역,67606304941.0,162954761117.0,6090.0,11101199.49770115,26757760.446141217,0.4148777518225399
영등포시장역 3번,394695207.0,951822091.0,84.0,4698752.464285715,11331215.36904762,0.4146732994874354
도봉우체국,758475896.0,1830368328.0,264.0,2873014.757575758,6933213.363636363,0.41438429872132276
옥정중학교,12616174.0,30467608.0,36.0,350449.27777777775,846322.4444444445,0.4140848208366078
롯데백화점(시청광장 지하쇼핑센터),5699597046.0,13820876549.0,2334.0,2441986.737789203,5921540.937874893,0.41239041719191033
우장산힐스테이트,1157730733.0,2810376331.0,300.0,3859102.4433333334,9367921.103333334,0.4119486490935722
언주역 3번,5370571687.0,13043466694.0,1002.0,5359851.983033932,13017431.830339322,0.41174419446867333
서초3동사거리,27837075564.0,67632833535.0,3102.0,8973912.174081238,21802976.63926499,0.41159114750965314
한국상담대학원대학교,661020677.0,1606180547.0,36.0,18361685.472222224,44616126.30555555,0.4115481775910215
동문시장,670300563.0,1632734805.0,228.0,2939914.75,7161117.565789473,0.41053853996822226
용산세무서,338467596.0,825116515.0,78.0,4339328.153846154,10578416.858974358,0.4102058192351174
고척중학교,751074548.0,1831961340.0,48.0,15647386.416666666,38165861.25,0.40998384168958496
강변역(테크노마트),9868282286.0,24083358896.0,1866.0,5288468.534833869,12906408.840300107,0.4097552309299771
상왕십리역 6번,912039378.0,2234184868.0,210.0,4343044.657142857,10638975.561904762,0.40822019299434265
구로구청,10161826478.0,24913500978.0,1416.0,7176431.128531073,17594280.351694915,0.4078843229208715
을지로입구역,56725416058.0,139249048738.0,5736.0,9889368.210948396,24276333.46199442,0.40736663246245985
대치2동주민센터,2609169560.0,6405770783.0,402.0,6490471.542288558,15934753.191542288,0.40731547356086534
구로역,24906494877.0,61156019948.0,4512.0,5520056.488696809,13554082.435283689,0.4072615402077768
서대문구보건소별관,692383539.0,1703498123.0,450.0,1538630.0866666667,3785551.3844444444,0.4064480786046631
삼청동,22385271377.0,55102211721.0,3816.0,5866161.262316562,14439782.945754716,0.40624996126006235
개포고등학교,4690811012.0,11553203402.0,582.0,8059812.735395189,19850864.951890033,0.40601821406415856
G타워,635531910.0,1565362772.0,336.0,1891464.017857143,4658817.773809524,0.405996566015178
지향초등학교,53380690.0,131489168.0,84.0,635484.4047619047,1565347.238095238,0.40597024691798184
언주중학교,14786778.0,36547129.0,72.0,205371.91666666666,507599.0138888889,0.4045947904690407
도곡1동,6810073934.0,16845484510.0,2214.0,3075914.15266486,7608619.923215899,0.40426702657067115
학동역,26756036997.0,66232879002.0,4674.0,5724440.949293966,14170491.870346598,0.4039691071890754
뚝섬역교차로,1796418401.0,4452529989.0,534.0,3364079.402621723,8338071.140449438,0.4034601463523124
서울숲역,1761551226.0,4370942497.0,672.0,2621355.9910714286,6504378.71577381,0.4030140472470279
광나루역 1번,6696318945.0,16618439445.0,666.0,10054532.95045045,24952611.77927928,0.4029451120944286
"강남구청(청담역_8번, 강남세무서)",8850924170.0,21985841363.0,1956.0,4525012.356850715,11240205.195807772,0.40257382120910007
북한산보국문역 2번,307254374.0,763837636.0,120.0,2560453.1166666667,6365313.633333334,0.4022508966813989
도곡초등학교,3181629794.0,7909734331.0,816.0,3899056.120098039,9693301.87622549,0.40224230813043726
대치동아우편취급국,1875435713.0,4662569592.0,756.0,2480735.07010582,6167420.095238095,0.4022322189502239
영천시장입구,366698081.0,914005701.0,144.0,2546514.451388889,6347261.8125,0.4011988990865168
KT금천빌딩(금천구시설관리공단),1113607501.0,2776331524.0,426.0,2614102.115023474,6517210.150234742,0.401107537544929
갈현건영아파트,74761650.0,186438590.0,156.0,479241.3461538461,1195119.1666666667,0.4009987953674182
어린이대공원역 3번,2697053466.0,6725988376.0,1272.0,2120325.0518867923,5287726.710691824,0.4009899088769998
종암중학교,3374913424.0,8426862449.0,708.0,4766826.870056497,11902348.09180791,0.4004946614977078
한남힐사이드아파트,492346561.0,1232254397.0,192.0,2564305.0052083335,6417991.651041667,0.3995494454705525
청담삼익시장,1715947309.0,4294960996.0,324.0,5296133.669753087,13256052.456790123,0.39952570246810226
연산군묘,494213746.0,1237464189.0,72.0,6864079.805555556,17187002.625,0.3993762004534258
신서초등학교,1843304383.0,4615543836.0,840.0,2194409.9797619046,5494695.042857143,0.3993688389703336
성내중학교,121533580.0,305275287.0,204.0,595752.8431372549,1496447.4852941176,0.39811142655645104
아카데미하우스,3812454691.0,9579603928.0,678.0,5623089.5147492625,14129209.333333334,0.39797623363703644
경희대후문,1867658418.0,4693126472.0,804.0,2322958.231343284,5837221.980099503,0.3979561235229375
용두사거리,630189172.0,1584575396.0,72.0,8752627.388888888,22007991.611111112,0.39770223215052364
둔촌동역 1번(한산중학교),5006075860.0,12602517077.0,1800.0,2781153.2555555557,7001398.376111111,0.3972282544362705
명동역(명동재미로),14537184948.0,36612203464.0,3270.0,4445622.30825688,11196392.496636085,0.397058455175857
공릉동 도깨비시장,2257335934.0,5693382914.0,1620.0,1393417.2432098766,3514433.897530864,0.3964841234284844
서울숲역 1번,368832409.0,930508689.0,390.0,945724.1256410256,2385919.7153846156,0.3963771788056887
방배동사이길,1472608585.0,3718762784.0,342.0,4305873.055555556,10873575.391812865,0.3959942245673502
뱅뱅사거리,47716347295.0,120542461356.0,8196.0,5821906.697779405,14707474.543191802,0.39584679753699853
장승배기역 5번,147046803.0,371497382.0,72.0,2042316.7083333333,5159685.861111111,0.39582190918373683
전농중학교,1874570318.0,4739058318.0,912.0,2055449.9100877193,5196335.875,0.3955575543098856
보인중학교,2365831983.0,5981425528.0,720.0,3285877.754166667,8307535.455555555,0.3955297900015918
남산케이블카,9036148995.0,23053001689.0,810.0,11155739.5,28460495.912345678,0.39197277286938736
신월시영아파트중문,48343512.0,123393552.0,192.0,251789.125,642674.75,0.39178312980243896
"이화여대 3,5,7길 상점가",11383571356.0,29066627443.0,3420.0,3328529.63625731,8499013.872222222,0.3916371577102751
방이역 2번,2365855930.0,6059934390.0,792.0,2987191.8308080807,7651432.310606061,0.3904094958361422
선정중학교,59704004.0,152992515.0,300.0,199013.34666666668,509975.05,0.39024133958448887
남영역 1번,6208446623.0,15913562679.0,1818.0,3414987.1413641362,8753334.806930693,0.3901355559552259
방산종합시장(방산시장),10612633710.0,27270068538.0,2010.0,5279917.268656717,13567198.277611941,0.3891678414820125
송정체육공원,687546513.0,1768503863.0,744.0,924121.6572580645,2377021.321236559,0.3887729777608068
보라매공원,30128735673.0,77514786561.0,5418.0,5560859.297342192,14306900.435769657,0.3886837209993514
서울공연예술고등학교,657957332.0,1693207995.0,288.0,2284574.0694444445,5879194.427083333,0.38858624217634885
벌말어린이공원,3588321928.0,9235087009.0,672.0,5339764.773809524,13742689.001488095,0.3885531261917751
강남세브란스병원미래의학연구센터,235268674.0,605501701.0,162.0,1452275.7654320989,3737664.8209876544,0.3885516318310062
동묘앞역 3번,252022410.0,648760893.0,114.0,2210722.8947368423,5690885.02631579,0.3884673270526496
우장산롯데캐슬아파트앞,1427474253.0,3679656409.0,420.0,3398748.2214285713,8761086.688095238,0.38793683277291013
회기역 1번,359873786.0,928207065.0,180.0,1999298.8111111112,5156705.916666667,0.38770851846511206
광진구청,1338361381.0,3456301981.0,756.0,1770319.287037037,4571828.017195767,0.38722350892868934
안암역 2번,8052710197.0,20796278547.0,1668.0,4827763.907074341,12467792.893884892,0.3872188083459604
이태원엔틱가구거리,882494979.0,2284194482.0,264.0,3342784.0113636362,8652251.825757576,0.38634844184865685
