commercial_area,night_sales,total_shops,night_per_shop,total_sales,night_index
경리단길북측,9365134593.0,3114.0,3007429.22061657,22288286453.0,0.4201819019487455
국민대학교앞,672007791.0,414.0,1623207.2246376812,1601385771.0,0.4196414150603815
가로수길,55051257421.0,10302.0,5343744.653562415,132307765515.0,0.4160848549343744
수유역,68255582322.0,11784.0,5792225.24796334,164947336798.0,0.4138022695424786
서교시장,731391273.0,96.0,7618659.09375,1771896923.0,0.41277303634665213
영락고등학교,1723477574.0,1128.0,1527905.6507092197,4194046520.0,0.4109343007478133
"한양대앞상점가(한양시장, 왕십리맛골목)",13191505730.0,2868.0,4599548.720362622,32210515572.0,0.4095403471736767
홍익지구대,1884802346.0,330.0,5711522.260606061,4609018747.0,0.4089378779868955
한강미주맨션아파트,2333081700.0,318.0,7336734.905660378,5708480120.0,0.40870453272245083
내를건너서숲으로도서관,89117886.0,192.0,464155.65625,218580216.0,0.407712498554764
역촌역 3번,1367858236.0,288.0,4749507.763888889,3371121529.0,0.40575761634014945
불광역,4059947489.0,1260.0,3222180.546825397,10057136951.0,0.4036881976233119
대명여울빛거리시장(대명시장),10171038264.0,2382.0,4269957.289672544,25237766462.0,0.40300865289780413
망원나들목체육관,342225001.0,192.0,1782421.8802083333,853545524.0,0.40094522363168056
신노량진시장(기능상실),394851970.0,216.0,1828018.3796296297,985443694.0,0.40068445554434695
상수역 4번,3528313537.0,1500.0,2352209.0246666665,8815112231.0,0.4002573585611334
시립대앞사거리,1138940414.0,642.0,1774050.4890965733,2855410151.0,0.39887103910488275
홍대땡땡거리,10296108466.0,3246.0,3171937.2969808998,25814043561.0,0.398856864158834
화원중학교,1984397092.0,1104.0,1797461.134057971,4975954455.0,0.3987972779787029
오류동역 4번,627755204.0,138.0,4548950.7536231885,1574807149.0,0.3986235421896729
왕십리도선동상점가,15174317814.0,3732.0,4066001.5578778135,38177983456.0,0.39746252788569497
답십리현대시장,936558500.0,570.0,1643085.0877192982,2362299947.0,0.39646044999043467
미아사거리역 3번,2525121756.0,828.0,3049663.9565217393,6376266380.0,0.3960188620601513
관악구 중앙길,9236373597.0,3288.0,2809116.057481752,23392436318.0,0.39484444764279636
학동사거리,57435448960.0,9714.0,5912646.588429071,146319785784.0,0.39253371409924886
금호역,4855874808.0,2112.0,2299183.147727273,12370716616.0,0.3925297910162717
강북구청,4484164023.0,1086.0,4129064.4779005526,11425967385.0,0.39245377410115895
구산보건지소,967689039.0,1416.0,683396.2139830509,2468494339.0,0.3920159036670167
금호사거리,2376880153.0,462.0,5144762.235930736,6070674466.0,0.39153477365854195
공덕시장,4039482532.0,870.0,4643083.370114942,10330682941.0,0.39101795641876336
노량진중앙시장,3521555181.0,498.0,7071395.945783133,9053401036.0,0.38897594031202926
화곡보람2차아파트,152261433.0,102.0,1492759.1470588236,391575995.0,0.3888426127858017
사당역 10번,12688539892.0,3576.0,3548249.4105145414,32647742482.0,0.38864984000029085
강남시장(강남구 강남시장),3257529812.0,390.0,8352640.543589744,8398649528.0,0.3878635250988651
대림차이나타운(대림역 12번),1572098223.0,780.0,2015510.5423076923,4068710143.0,0.3863873728396975
화곡초등학교,1978342378.0,678.0,2917909.1120943953,5129777662.0,0.3856585038090487
"황학시장(서울중앙시장, 신중앙시장)",3065014426.0,1038.0,2952807.732177264,7966038654.0,0.3847601749284708
가리봉파출소,566394345.0,624.0,907683.2451923077,1476932151.0,0.38349381494370355
도봉구 정병원,1539437087.0,906.0,1699157.9326710817,4028141638.0,0.3821705454638237
오목교역,26305217071.0,4794.0,5487112.447017104,68858313396.0,0.3820194799097138
한국폴리텍대학서울정수캠퍼스,1865936492.0,582.0,3206076.446735395,4888997654.0,0.3816603369554409
녹번동근린공원,390174918.0,318.0,1226965.1509433961,1022585079.0,0.3815574136692444
한성대입구역 3번,2130375339.0,1518.0,1403409.314229249,5593479602.0,0.38086763349208685
우이천 계성교,1131160393.0,762.0,1484462.4580052493,2970026080.0,0.380858740809441
장곡초등학교,1918611131.0,804.0,2386332.252487562,5064422784.0,0.3788410274634765
경희대삼거리,5670078347.0,2736.0,2072397.0566520467,15013125878.0,0.3776747356330932
신사은행나무공원,652703057.0,492.0,1326632.2296747968,1734382022.0,0.3763317704638892
동평화시장,941476688.0,234.0,4023404.6495726495,2510653135.0,0.37499273590415744
"신월7동 골목시장(약수시장, 우성상가)",130507882.0,120.0,1087565.6833333333,349897566.0,0.37298882496370384
영림시장,7535798452.0,2964.0,2542442.1228070175,20245188328.0,0.37222664121023036
경동고등학교,1372111660.0,1092.0,1256512.509157509,3694095409.0,0.3714337362963329
화양제일골목시장,2055638183.0,870.0,2362802.5091954023,5536041776.0,0.37131912405568523
효창공원앞역 5번,4736484038.0,1380.0,3432234.8101449274,12773871960.0,0.37079470131153563
목동사거리,9827450799.0,2808.0,3499804.4155982905,26534553789.0,0.370364275847518
독산119안전센터,2670974680.0,1332.0,2005236.2462462462,7233146799.0,0.3692686951091977
연가초등학교,159396202.0,324.0,491963.5864197531,433102076.0,0.36803379811091
구의1동주민센터,6576475680.0,2754.0,2387972.2875816994,17910891605.0,0.36717745967286813
홍대입구역 3번,8338199561.0,2844.0,2931856.3857243317,22727650358.0,0.3668746847852225
연신내역 7번,2890035500.0,1932.0,1495877.5879917184,7883224513.0,0.36660575824450076
신논현역 1번,3830383866.0,1596.0,2399989.8909774437,10449151983.0,0.36657365805682146
인수중학교,7867664.0,96.0,81954.83333333333,21491460.0,0.36608327214623854
청담사거리(청담동명품거리),39672548125.0,7098.0,5589257.273175542,109268242489.0,0.3630748259632145
연신내역 5번,3230584005.0,1194.0,2705681.746231156,8902625383.0,0.36287992204737257
면목역 2번,4395717303.0,1782.0,2466732.4932659934,12141980127.0,0.36202639577916024
응암동우체국,1750397886.0,774.0,2261495.976744186,4836788988.0,0.3618925469650858
삼성중앙역,31953360389.0,5874.0,5439795.776132108,88373762697.0,0.36157066773942753
노원역 9번,76885119.0,96.0,800886.65625,213071423.0,0.36084200273069933
건대입구역(건대),68620913821.0,13722.0,5000795.352062382,190901298272.0,0.35945755446475564
"숙대입구역(남영역, 남영동)",7956719505.0,1806.0,4405714.011627907,22166955400.0,0.3589450766432272
동작구자원봉사센터,21228459.0,96.0,221129.78125,59396595.0,0.3574019520815966
석계역 7번,15605438406.0,2646.0,5897746.941043084,43709965480.0,0.3570224372092092
한아름시장,365848245.0,120.0,3048735.375,1026852195.0,0.35628130979454153
호림박물관(성보고등학교),134464614.0,270.0,498017.0888888889,379068920.0,0.3547233943632203
보라매역 6번,1709421247.0,1038.0,1646841.2784200385,4820935989.0,0.3545828550514695
길동역,31705918010.0,6276.0,5051930.849267049,89528669767.0,0.3541426237261788
국립정신건강센터,2586258714.0,912.0,2835809.9934210526,7312850542.0,0.3536594518302135
가산디지털단지역 1번 출입구,2292073354.0,870.0,2634567.0735632186,6487022293.0,0.35333212227023253
까치산역 1번,1541012883.0,1332.0,1156916.5788288289,4362476206.0,0.35324270213337644
가좌역 2번,987967769.0,750.0,1317290.3586666666,2797851093.0,0.3531166370761533
신곡초등학교,368288209.0,258.0,1427473.6782945737,1044398253.0,0.35263196576794736
성동구립금호도서관,271063036.0,36.0,7529528.777777778,770964255.0,0.35158962849710845
창동역상점가,9257030870.0,1782.0,5194742.351290684,26344692885.0,0.35138124063198767
새절역 2번,1295675664.0,426.0,3041492.1690140846,3693413044.0,0.35080713924072016
상계5동주민센터,3393110494.0,2346.0,1446338.6589940323,9700014643.0,0.3498046775061966
상월곡역 1번,2304942406.0,1398.0,1648742.7796852647,6592161401.0,0.3496489642456799
상도역 1번,1277215804.0,330.0,3870350.9212121214,3661617365.0,0.34881192562838964
삼양골목시장(삼양시장),1939843685.0,762.0,2545726.620734908,5585099090.0,0.34732484665728647
자양한강도서관,3487090223.0,1164.0,2995781.9785223366,10062407814.0,0.3465463025806161
오류동역 3번,731602183.0,396.0,1847480.26010101,2118857375.0,0.34528146709261165
강북종합전통시장(강북종합골목시장),8225140042.0,2568.0,3202936.153426791,23878293807.0,0.3444609614271843
구의역,24280903590.0,5352.0,4536790.655829596,70586769557.0,0.34398661027252087
둔촌역전통시장,2801975957.0,1212.0,2311861.350660066,8148216398.0,0.3438759871040922
홍제3동주민센터,2195806422.0,1428.0,1537679.5672268907,6389991250.0,0.3436321484790766
오산중학교,1465487074.0,378.0,3876949.9312169314,4266759811.0,0.3434660348637094
백련산해모로아파트,894497444.0,684.0,1307744.8011695906,2604977123.0,0.34338015336190725
대림한신아파트,181003109.0,432.0,418988.67824074073,527374649.0,0.34321541496773766
군자역,33974294700.0,6822.0,4980107.695690413,99037449146.0,0.34304492889266
