commercial_area,week,total_sales
강남시장(동작구 강남시장),THURSDAY,160333895.0
강남시장(동작구 강남시장),FRIDAY,214162107.0
강남시장(동작구 강남시장),SATURDAY,193709976.0
강남시장(동작구 강남시장),SUNDAY,49370425.0
강남언주로,MONDAY,3071242880.0
강남언주로,TUESDAY,3429814303.0
강남언주로,WEDNESDAY,3425339505.0
강남언주로,THURSDAY,3570364866.0
강남언주로,FRIDAY,3402593648.0
강남언주로,SATURDAY,1425098530.0
강남언주로,SUNDAY,768486311.0
강남역,MONDAY,63531210788.0
강남역,TUESDAY,71282160177.0
강남역,WEDNESDAY,71755030560.0
강남역,THURSDAY,76677899376.0
강남역,FRIDAY,91172323944.0
강남역,SATURDAY,82185131359.0
강남역,SUNDAY,49506200100.0
강남을지병원,MONDAY,8529537658.0
강남을지병원,TUESDAY,9717779248.0
강남을지병원,WEDNESDAY,9542144818.0
강남을지병원,THURSDAY,10147557989.0
강남을지병원,FRIDAY,10521452306.0
강남을지병원,SATURDAY,6880945099.0
강남을지병원,SUNDAY,4392671658.0
강동구립 천호도서관,MONDAY,304104236.0
강동구립 천호도서관,TUESDAY,311750575.0
강동구립 천호도서관,WEDNESDAY,274579556.0
강동구립 천호도서관,THURSDAY,294335649.0
강동구립 천호도서관,FRIDAY,315328389.0
강동구립 천호도서관,SATURDAY,343044538.0
강동구립 천호도서관,SUNDAY,246959952.0
강동구립성내도서관,MONDAY,963694975.0
강동구립성내도서관,TUESDAY,1020643782.0
강동구립성내도서관,WEDNESDAY,1033745164.0
강동구립성내도서관,THURSDAY,1085341052.0
강동구립성내도서관,FRIDAY,1089165983.0
강동구립성내도서관,SATURDAY,1174894154.0
강동구립성내도서관,SUNDAY,473082791.0
강동구청(강동구청역 2번),MONDAY,131077121.0
강동구청(강동구청역 2번),TUESDAY,123622406.0
강동구청(강동구청역 2번),WEDNESDAY,126855512.0
강동구청(강동구청역 2번),THURSDAY,121680560.0
강동구청(강동구청역 2번),FRIDAY,142303283.0
강동구청(강동구청역 2번),SATURDAY,68397048.0
강동구청(강동구청역 2번),SUNDAY,26994050.0
강동구청역,MONDAY,5918859047.0
강동구청역,TUESDAY,6253668908.0
강동구청역,WEDNESDAY,6253230349.0
강동구청역,THURSDAY,6347986069.0
강동구청역,FRIDAY,7081562480.0
강동구청역,SATURDAY,6483853053.0
강동구청역,SUNDAY,5034635449.0
강동성심병원,MONDAY,724130074.0
강동성심병원,TUESDAY,728258606.0
강동성심병원,WEDNESDAY,711247123.0
강동성심병원,THURSDAY,745103864.0
강동성심병원,FRIDAY,685634553.0
강동성심병원,SATURDAY,589117419.0
강동성심병원,SUNDAY,488869332.0
강동역 4번(강풀만화거리),MONDAY,2688456711.0
강동역 4번(강풀만화거리),TUESDAY,2927653997.0
강동역 4번(강풀만화거리),WEDNESDAY,2839310129.0
강동역 4번(강풀만화거리),THURSDAY,3004006969.0
강동역 4번(강풀만화거리),FRIDAY,3544534488.0
강동역 4번(강풀만화거리),SATURDAY,3910313179.0
강동역 4번(강풀만화거리),SUNDAY,3009843397.0
강변역(테크노마트),MONDAY,3238493777.0
강변역(테크노마트),TUESDAY,2866813586.0
강변역(테크노마트),WEDNESDAY,3301280213.0
강변역(테크노마트),THURSDAY,3216274866.0
강변역(테크노마트),FRIDAY,3748229388.0
강변역(테크노마트),SATURDAY,4145939416.0
강변역(테크노마트),SUNDAY,3566327650.0
강북구청,MONDAY,1256603932.0
강북구청,TUESDAY,1511045796.0
강북구청,WEDNESDAY,1494515162.0
강북구청,THURSDAY,1530252521.0
강북구청,FRIDAY,1770258318.0
강북구청,SATURDAY,2200969714.0
강북구청,SUNDAY,1662321942.0
강북문화예술회관,MONDAY,474237121.0
강북문화예술회관,TUESDAY,446784286.0
강북문화예술회관,WEDNESDAY,353048195.0
강북문화예술회관,THURSDAY,412228218.0
강북문화예술회관,FRIDAY,478972364.0
강북문화예술회관,SATURDAY,402816488.0
강북문화예술회관,SUNDAY,260977187.0
강북북부골목시장,MONDAY,129634655.0
강북북부골목시장,TUESDAY,146526632.0
강북북부골목시장,WEDNESDAY,107142572.0
강북북부골목시장,THURSDAY,128902703.0
강북북부골목시장,FRIDAY,118651788.0
강북북부골목시장,SATURDAY,126079097.0
강북북부골목시장,SUNDAY,44439454.0
강북종합전통시장(강북종합골목시장),MONDAY,3083115849.0
강북종합전통시장(강북종합골목시장),TUESDAY,3291913902.0
강북종합전통시장(강북종합골목시장),WEDNESDAY,3146310002.0
강북종합전통시장(강북종합골목시장),THURSDAY,3211610720.0
강북종합전통시장(강북종합골목시장),FRIDAY,3752605420.0
강북종합전통시장(강북종합골목시장),SATURDAY,4300778850.0
강북종합전통시장(강북종합골목시장),SUNDAY,3091959064.0
강북중학교,MONDAY,588029423.0
강북중학교,TUESDAY,411569060.0
강북중학교,WEDNESDAY,452647065.0
강북중학교,THURSDAY,562751159.0
강북중학교,FRIDAY,565018380.0
강북중학교,SATURDAY,755301205.0
강북중학교,SUNDAY,605164260.0
강서고등학교,MONDAY,245215530.0
강서고등학교,TUESDAY,259231356.0
강서고등학교,WEDNESDAY,216988418.0
강서고등학교,THURSDAY,240173215.0
강서고등학교,FRIDAY,280651572.0
강서고등학교,SATURDAY,365949374.0
강서고등학교,SUNDAY,222025830.0
강서구다솔마을,MONDAY,1400087219.0
강서구다솔마을,TUESDAY,1449442758.0
강서구다솔마을,WEDNESDAY,1418264037.0
강서구다솔마을,THURSDAY,1382558875.0
강서구다솔마을,FRIDAY,1415646472.0
강서구다솔마을,SATURDAY,883033794.0
강서구다솔마을,SUNDAY,236453750.0
강서구청,MONDAY,7637092764.0
강서구청,TUESDAY,8547551806.0
강서구청,WEDNESDAY,8580613145.0
강서구청,THURSDAY,8612783417.0
강서구청,FRIDAY,10041404857.0
강서구청,SATURDAY,11317856374.0
강서구청,SUNDAY,8653289843.0
강서구청가양동별관,MONDAY,189011120.0
강서구청가양동별관,TUESDAY,144787451.0
강서구청가양동별관,WEDNESDAY,147816874.0
강서구청가양동별관,THURSDAY,127861843.0
강서구청가양동별관,FRIDAY,149019934.0
강서구청가양동별관,SATURDAY,108865994.0
강서구청가양동별관,SUNDAY,93549923.0
강서구청옆,MONDAY,745064525.0
강서구청옆,TUESDAY,829659505.0
강서구청옆,WEDNESDAY,813452425.0
강서구청옆,THURSDAY,864011894.0
강서구청옆,FRIDAY,1012549406.0
강서구청옆,SATURDAY,1073259130.0
강서구청옆,SUNDAY,581349537.0
강서농산물도매시장,MONDAY,965034064.0
강서농산물도매시장,TUESDAY,1037912833.0
강서농산물도매시장,WEDNESDAY,1109560903.0
강서농산물도매시장,THURSDAY,1097795222.0
강서농산물도매시장,FRIDAY,1208619038.0
강서농산물도매시장,SATURDAY,1800121754.0
강서농산물도매시장,SUNDAY,1347371748.0
강서새말어린이공원,MONDAY,28891777.0
강서새말어린이공원,TUESDAY,19489373.0
강서새말어린이공원,WEDNESDAY,28922891.0
강서새말어린이공원,THURSDAY,25038503.0
강서새말어린이공원,FRIDAY,31152916.0
강서새말어린이공원,SATURDAY,24592497.0
강서새말어린이공원,SUNDAY,26521729.0
강일동주민센터,MONDAY,964602187.0
강일동주민센터,TUESDAY,1082415548.0
강일동주민센터,WEDNESDAY,987582348.0
강일동주민센터,THURSDAY,1007229222.0
강일동주민센터,FRIDAY,1176506285.0
강일동주민센터,SATURDAY,1167135969.0
강일동주민센터,SUNDAY,841407555.0
개나리아파트,MONDAY,2584676939.0
개나리아파트,TUESDAY,2976108557.0
개나리아파트,WEDNESDAY,2831749971.0
개나리아파트,THURSDAY,2960929543.0
개나리아파트,FRIDAY,2992727194.0
개나리아파트,SATURDAY,1503949725.0
개나리아파트,SUNDAY,1300031657.0
개롱역,MONDAY,3994236875.0
개롱역,TUESDAY,4295534373.0
개롱역,WEDNESDAY,4117839318.0
개롱역,THURSDAY,4388266600.0
개롱역,FRIDAY,4892195160.0
개롱역,SATURDAY,5036477243.0
개롱역,SUNDAY,2943613172.0
개봉1동주민센터,MONDAY,1210240477.0
개봉1동주민센터,TUESDAY,1350516667.0
개봉1동주민센터,WEDNESDAY,1371368125.0
개봉1동주민센터,THURSDAY,1356185239.0
개봉1동주민센터,FRIDAY,1541093200.0
개봉1동주민센터,SATURDAY,1888717508.0
개봉1동주민센터,SUNDAY,1625212360.0
개봉3동주민센터,MONDAY,23792699.0
개봉3동주민센터,TUESDAY,42689223.0
개봉3동주민센터,WEDNESDAY,39567388.0
개봉3동주민센터,THURSDAY,41559081.0
개봉3동주민센터,FRIDAY,41372606.0
개봉3동주민센터,SATURDAY,64844110.0
개봉3동주민센터,SUNDAY,57644557.0
개봉동 현대아파트,MONDAY,2798253055.0
개봉동 현대아파트,TUESDAY,3089882811.0
개봉동 현대아파트,WEDNESDAY,3351651050.0
개봉동 현대아파트,THURSDAY,3049835558.0
개봉동 현대아파트,FRIDAY,3783229543.0
개봉동 현대아파트,SATURDAY,4294523814.0
개봉동 현대아파트,SUNDAY,3292547087.0
개봉역,MONDAY,1546979026.0
개봉역,TUESDAY,1614468700.0
개봉역,WEDNESDAY,1739213098.0
개봉역,THURSDAY,1748510577.0
개봉역,FRIDAY,1982195914.0
개봉역,SATURDAY,2159563742.0
개봉역,SUNDAY,1528789614.0
개봉중앙시장,MONDAY,1257580215.0
개봉중앙시장,TUESDAY,1311384591.0
개봉중앙시장,WEDNESDAY,1272564787.0
개봉중앙시장,THURSDAY,1179800731.0
개봉중앙시장,FRIDAY,1441168318.0
개봉중앙시장,SATURDAY,1830665300.0
개봉중앙시장,SUNDAY,1581507687.0
개봉중학교,MONDAY,610344796.0
개봉중학교,TUESDAY,581896422.0
개봉중학교,WEDNESDAY,655922430.0
개봉중학교,THURSDAY,627913572.0
개봉중학교,FRIDAY,719665037.0
개봉중학교,SATURDAY,1024241693.0
개봉중학교,SUNDAY,844528831.0
개봉초등학교,MONDAY,221568772.0
개봉초등학교,TUESDAY,232369825.0
개봉초등학교,WEDNESDAY,205689103.0
개봉초등학교,THURSDAY,191239889.0
개봉초등학교,FRIDAY,258195051.0
개봉초등학교,SATURDAY,274736102.0
개봉초등학교,SUNDAY,138536344.0
개웅초등학교(개웅중학교),MONDAY,146813670.0
개웅초등학교(개웅중학교),TUESDAY,175460605.0
개웅초등학교(개웅중학교),WEDNESDAY,196710171.0
개웅초등학교(개웅중학교),THURSDAY,186543930.0
개웅초등학교(개웅중학교),FRIDAY,234689709.0
개웅초등학교(개웅중학교),SATURDAY,275427115.0
개웅초등학교(개웅중학교),SUNDAY,169817460.0
개포고등학교,MONDAY,1822310657.0
개포고등학교,TUESDAY,1651357199.0
개포고등학교,WEDNESDAY,1683819818.0
개포고등학교,THURSDAY,1679590672.0
개포고등학교,FRIDAY,1793969396.0
개포고등학교,SATURDAY,1838419340.0
개포고등학교,SUNDAY,1083736320.0
개포지구대옆,MONDAY,178105643.0
개포지구대옆,TUESDAY,181958761.0
개포지구대옆,WEDNESDAY,146795870.0
개포지구대옆,THURSDAY,126946233.0
개포지구대옆,FRIDAY,221935460.0
개포지구대옆,SATURDAY,65268829.0
개포지구대옆,SUNDAY,67503104.0
개화산역 1번,MONDAY,752805853.0
개화산역 1번,TUESDAY,751176581.0
개화산역 1번,WEDNESDAY,772739717.0
개화산역 1번,THURSDAY,819244542.0
개화산역 1번,FRIDAY,943037564.0
개화산역 1번,SATURDAY,1067539827.0
개화산역 1번,SUNDAY,563625732.0
거여역,MONDAY,3429092458.0
거여역,TUESDAY,3738434701.0
거여역,WEDNESDAY,3608095024.0
거여역,THURSDAY,3678843878.0
거여역,FRIDAY,4332012131.0
거여역,SATURDAY,5326770749.0
거여역,SUNDAY,4083570758.0
거여역 1번(거여공원),MONDAY,1081236186.0
거여역 1번(거여공원),TUESDAY,935403815.0
거여역 1번(거여공원),WEDNESDAY,1069787975.0
거여역 1번(거여공원),THURSDAY,1043379258.0
거여역 1번(거여공원),FRIDAY,1167727051.0
거여역 1번(거여공원),SATURDAY,1538250263.0
거여역 1번(거여공원),SUNDAY,1388864314.0
거여초등학교,MONDAY,5694192.0
거여초등학교,TUESDAY,5387401.0
거여초등학교,WEDNESDAY,5235634.0
거여초등학교,THURSDAY,5967263.0
거여초등학교,FRIDAY,5941155.0
거여초등학교,SATURDAY,1935960.0
거여초등학교,SUNDAY,1427356.0
건대입구역 1번,MONDAY,1309844618.0
건대입구역 1번,TUESDAY,1358469550.0
건대입구역 1번,WEDNESDAY,1386255195.0
건대입구역 1번,THURSDAY,1442558007.0
