commercial_area,age,total_sales
강남역,TWENTIES,129486693043.0
강남역,THIRTIES,148370106770.0
강남역,FORTIES,69303116816.0
강남역,FIFTIES,50671045898.0
강남역,SIXTIES_PLUS,24810317327.0
강남을지병원,TEENS,87411576.0
강남을지병원,TWENTIES,4712629350.0
강남을지병원,THIRTIES,12252463933.0
강남을지병원,FORTIES,9796399041.0
강남을지병원,FIFTIES,7037640193.0
강남을지병원,SIXTIES_PLUS,5376700712.0
강동구립 천호도서관,TEENS,2757168.0
강동구립 천호도서관,TWENTIES,184967097.0
강동구립 천호도서관,THIRTIES,385833506.0
강동구립 천호도서관,FORTIES,383778523.0
강동구립 천호도서관,FIFTIES,505140131.0
강동구립 천호도서관,SIXTIES_PLUS,374953908.0
강동구립성내도서관,TEENS,925437.0
강동구립성내도서관,TWENTIES,331933646.0
강동구립성내도서관,THIRTIES,1079168658.0
강동구립성내도서관,FORTIES,1130684394.0
강동구립성내도서관,FIFTIES,1612707140.0
강동구립성내도서관,SIXTIES_PLUS,1925987639.0
강동구청(강동구청역 2번),TEENS,325312.0
강동구청(강동구청역 2번),TWENTIES,72441149.0
강동구청(강동구청역 2번),THIRTIES,194631781.0
강동구청(강동구청역 2번),FORTIES,212488343.0
강동구청(강동구청역 2번),FIFTIES,107765332.0
강동구청(강동구청역 2번),SIXTIES_PLUS,79148475.0
강동구청역,TEENS,117890255.0
강동구청역,TWENTIES,2886190703.0
강동구청역,THIRTIES,7659522767.0
강동구청역,FORTIES,9049401460.0
강동구청역,FIFTIES,8689103799.0
강동구청역,SIXTIES_PLUS,7436571908.0
강동성심병원,TEENS,10023610.0
강동성심병원,TWENTIES,585041510.0
강동성심병원,THIRTIES,1001569850.0
강동성심병원,FORTIES,893377718.0
강동성심병원,FIFTIES,897531813.0
강동성심병원,SIXTIES_PLUS,874917607.0
강동역 4번(강풀만화거리),TEENS,59803937.0
강동역 4번(강풀만화거리),TWENTIES,3289647025.0
강동역 4번(강풀만화거리),THIRTIES,5814882999.0
강동역 4번(강풀만화거리),FORTIES,4200606874.0
강동역 4번(강풀만화거리),FIFTIES,4096422230.0
강동역 4번(강풀만화거리),SIXTIES_PLUS,3118522735.0
강변역(테크노마트),TEENS,268920181.0
강변역(테크노마트),TWENTIES,4004353091.0
강변역(테크노마트),THIRTIES,5358839230.0
강변역(테크노마트),FORTIES,4920911226.0
강변역(테크노마트),FIFTIES,4429915707.0
강변역(테크노마트),SIXTIES_PLUS,3395847621.0
강북구청,TEENS,11438653.0
강북구청,TWENTIES,861570274.0
강북구청,THIRTIES,2030603185.0
강북구청,FORTIES,2572558577.0
강북구청,FIFTIES,2590569353.0
강북구청,SIXTIES_PLUS,2225498963.0
강북문화예술회관,TEENS,3788265.0
강북문화예술회관,TWENTIES,115396882.0
강북문화예술회관,THIRTIES,311003077.0
강북문화예술회관,FORTIES,340071588.0
강북문화예술회관,FIFTIES,675727612.0
강북문화예술회관,SIXTIES_PLUS,404845092.0
강북북부골목시장,TEENS,766341.0
강북북부골목시장,TWENTIES,29379050.0
강북북부골목시장,THIRTIES,81261655.0
강북북부골목시장,FORTIES,71226514.0
강북북부골목시장,FIFTIES,217663287.0
강북북부골목시장,SIXTIES_PLUS,378850664.0
강북종합전통시장(강북종합골목시장),TEENS,53868947.0
강북종합전통시장(강북종합골목시장),TWENTIES,1633366992.0
강북종합전통시장(강북종합골목시장),THIRTIES,3306079917.0
강북종합전통시장(강북종합골목시장),FORTIES,4319805405.0
강북종합전통시장(강북종합골목시장),FIFTIES,5960719419.0
강북종합전통시장(강북종합골목시장),SIXTIES_PLUS,6304318780.0
강북중학교,TEENS,5545360.0
강북중학교,TWENTIES,214143008.0
강북중학교,THIRTIES,515363872.0
강북중학교,FORTIES,605756117.0
강북중학교,FIFTIES,952873075.0
강북중학교,SIXTIES_PLUS,1157031571.0
강서고등학교,TEENS,2099785.0
강서고등학교,TWENTIES,77203890.0
강서고등학교,THIRTIES,259681469.0
강서고등학교,FORTIES,311379248.0
강서고등학교,FIFTIES,442964322.0
강서고등학교,SIXTIES_PLUS,469480619.0
강서구다솔마을,TEENS,4386074.0
강서구다솔마을,TWENTIES,153954452.0
강서구다솔마을,THIRTIES,868165628.0
강서구다솔마을,FORTIES,1570293361.0
강서구다솔마을,FIFTIES,1956451703.0
강서구다솔마을,SIXTIES_PLUS,971520185.0
강서구청,TEENS,241322886.0
강서구청,TWENTIES,8285940250.0
강서구청,THIRTIES,16508377105.0
강서구청,FORTIES,13113892191.0
강서구청,FIFTIES,10933362365.0
강서구청,SIXTIES_PLUS,7578102410.0
강서구청가양동별관,TEENS,5592043.0
강서구청가양동별관,TWENTIES,64096329.0
강서구청가양동별관,THIRTIES,194216396.0
강서구청가양동별관,FORTIES,152976707.0
강서구청가양동별관,FIFTIES,201809584.0
강서구청가양동별관,SIXTIES_PLUS,179348525.0
강서구청옆,TEENS,1636783.0
강서구청옆,TWENTIES,225727417.0
강서구청옆,THIRTIES,752811394.0
강서구청옆,FORTIES,1077595529.0
강서구청옆,FIFTIES,1096985384.0
강서구청옆,SIXTIES_PLUS,1302598755.0
강서농산물도매시장,TEENS,3338572.0
강서농산물도매시장,TWENTIES,263039902.0
강서농산물도매시장,THIRTIES,1108354063.0
강서농산물도매시장,FORTIES,1437739624.0
강서농산물도매시장,FIFTIES,1732580218.0
강서농산물도매시장,SIXTIES_PLUS,1890408344.0
강서새말어린이공원,TEENS,0.0
강서새말어린이공원,TWENTIES,11210061.0
강서새말어린이공원,THIRTIES,41144524.0
강서새말어린이공원,FORTIES,27940752.0
강서새말어린이공원,FIFTIES,39578379.0
강서새말어린이공원,SIXTIES_PLUS,34475065.0
강일동주민센터,TEENS,44324666.0
강일동주민센터,TWENTIES,510609364.0
강일동주민센터,THIRTIES,1161401689.0
강일동주민센터,FORTIES,1809679733.0
강일동주민센터,FIFTIES,1660528199.0
강일동주민센터,SIXTIES_PLUS,1186692070.0
개나리아파트,TEENS,58143442.0
개나리아파트,TWENTIES,1089765110.0
개나리아파트,THIRTIES,2613927807.0
개나리아파트,FORTIES,3692921851.0
개나리아파트,FIFTIES,3355639417.0
개나리아파트,SIXTIES_PLUS,1905783850.0
개롱역,TEENS,202767427.0
개롱역,TWENTIES,1867422091.0
개롱역,THIRTIES,4685469684.0
개롱역,FORTIES,5561721611.0
개롱역,FIFTIES,7189434634.0
개롱역,SIXTIES_PLUS,6451720155.0
개봉1동주민센터,TEENS,17622551.0
개봉1동주민센터,TWENTIES,536508771.0
개봉1동주민센터,THIRTIES,1156168610.0
개봉1동주민센터,FORTIES,1530419790.0
개봉1동주민센터,FIFTIES,2986685346.0
개봉1동주민센터,SIXTIES_PLUS,3526837419.0
개봉3동주민센터,TEENS,62831.0
개봉3동주민센터,TWENTIES,17973551.0
개봉3동주민센터,THIRTIES,79106221.0
개봉3동주민센터,FORTIES,74592616.0
개봉3동주민센터,FIFTIES,73650990.0
개봉3동주민센터,SIXTIES_PLUS,37334872.0
개봉동 현대아파트,TEENS,73603416.0
개봉동 현대아파트,TWENTIES,1343536455.0
개봉동 현대아파트,THIRTIES,3924550986.0
개봉동 현대아파트,FORTIES,5591923766.0
개봉동 현대아파트,FIFTIES,5736794267.0
개봉동 현대아파트,SIXTIES_PLUS,5331527076.0
개봉역,TEENS,103127925.0
개봉역,TWENTIES,1503720015.0
개봉역,THIRTIES,2606115524.0
개봉역,FORTIES,2417407915.0
개봉역,FIFTIES,2600816681.0
개봉역,SIXTIES_PLUS,2352249861.0
개봉중앙시장,TEENS,48434508.0
개봉중앙시장,TWENTIES,654540775.0
개봉중앙시장,THIRTIES,1570639989.0
개봉중앙시장,FORTIES,2356985446.0
개봉중앙시장,FIFTIES,2516095263.0
개봉중앙시장,SIXTIES_PLUS,2257128672.0
개봉중학교,TEENS,18951109.0
개봉중학교,TWENTIES,234705564.0
개봉중학교,THIRTIES,599434875.0
개봉중학교,FORTIES,947067038.0
개봉중학교,FIFTIES,1413527521.0
개봉중학교,SIXTIES_PLUS,1640238319.0
개봉초등학교,TEENS,1065332.0
개봉초등학교,TWENTIES,82167219.0
개봉초등학교,THIRTIES,178075751.0
개봉초등학교,FORTIES,319908423.0
개봉초등학교,FIFTIES,381671586.0
개봉초등학교,SIXTIES_PLUS,308319491.0
개웅초등학교(개웅중학교),TEENS,4145904.0
개웅초등학교(개웅중학교),TWENTIES,70551426.0
개웅초등학교(개웅중학교),THIRTIES,203539151.0
개웅초등학교(개웅중학교),FORTIES,351049882.0
개웅초등학교(개웅중학교),FIFTIES,348607006.0
개웅초등학교(개웅중학교),SIXTIES_PLUS,285656782.0
개포고등학교,TEENS,98640801.0
개포고등학교,TWENTIES,476013790.0
개포고등학교,THIRTIES,1513911192.0
개포고등학교,FORTIES,2523893138.0
개포고등학교,FIFTIES,2808867296.0
개포고등학교,SIXTIES_PLUS,2501779441.0
개포지구대옆,TEENS,2425892.0
개포지구대옆,TWENTIES,39646656.0
개포지구대옆,THIRTIES,98078527.0
개포지구대옆,FORTIES,93558130.0
개포지구대옆,FIFTIES,185467992.0
개포지구대옆,SIXTIES_PLUS,100967929.0
개화산역 1번,TEENS,7519899.0
개화산역 1번,TWENTIES,325806757.0
개화산역 1번,THIRTIES,694619214.0
개화산역 1번,FORTIES,997911768.0
개화산역 1번,FIFTIES,1666066470.0
개화산역 1번,SIXTIES_PLUS,1456652316.0
거여역,TEENS,154263170.0
거여역,TWENTIES,2471037014.0
거여역,THIRTIES,4973208482.0
거여역,FORTIES,5856509268.0
거여역,FIFTIES,7105915485.0
거여역,SIXTIES_PLUS,5820222308.0
거여역 1번(거여공원),TEENS,18581533.0
거여역 1번(거여공원),TWENTIES,344774507.0
거여역 1번(거여공원),THIRTIES,1097216600.0
거여역 1번(거여공원),FORTIES,1393388691.0
거여역 1번(거여공원),FIFTIES,2255336490.0
거여역 1번(거여공원),SIXTIES_PLUS,2351029337.0
거여초등학교,TEENS,24478.0
거여초등학교,TWENTIES,4744983.0
거여초등학교,THIRTIES,7612203.0
거여초등학교,FORTIES,7186825.0
거여초등학교,FIFTIES,4200474.0
거여초등학교,SIXTIES_PLUS,1730886.0
건대입구역 1번,TEENS,182501293.0
건대입구역 1번,TWENTIES,3813908216.0
건대입구역 1번,THIRTIES,2862258553.0
건대입구역 1번,FORTIES,1142342740.0
건대입구역 1번,FIFTIES,1185378282.0
건대입구역 1번,SIXTIES_PLUS,659419527.0
건대입구역 6번,TEENS,147682510.0
건대입구역 6번,TWENTIES,4893337683.0
건대입구역 6번,THIRTIES,5367534886.0
건대입구역 6번,FORTIES,2906385912.0
건대입구역 6번,FIFTIES,2803286099.0
건대입구역 6번,SIXTIES_PLUS,1879974686.0
건대입구역(건대),TEENS,6434844609.0
건대입구역(건대),TWENTIES,77229447433.0
건대입구역(건대),THIRTIES,42840315040.0
건대입구역(건대),FORTIES,20270456556.0
건대입구역(건대),FIFTIES,20522532313.0
건대입구역(건대),SIXTIES_PLUS,9979857294.0
경기고교사거리(경기고교앞사거리),TEENS,15565306.0
경기고교사거리(경기고교앞사거리),TWENTIES,580890403.0
경기고교사거리(경기고교앞사거리),THIRTIES,1418158841.0
경기고교사거리(경기고교앞사거리),FORTIES,1397517482.0
경기고교사거리(경기고교앞사거리),FIFTIES,1059038666.0
경기고교사거리(경기고교앞사거리),SIXTIES_PLUS,963301325.0
경기대학교,TEENS,1708234.0
경기대학교,TWENTIES,19691080.0
경기대학교,THIRTIES,13615826.0
경기대학교,FORTIES,9524867.0
경기대학교,FIFTIES,10579710.0
경기대학교,SIXTIES_PLUS,10646595.0
경동고등학교,TEENS,18446358.0
경동고등학교,TWENTIES,720118709.0
경동고등학교,THIRTIES,810326680.0
경동고등학교,FORTIES,623971745.0
경동고등학교,FIFTIES,767024592.0
경동고등학교,SIXTIES_PLUS,441764175.0
경동광성상가(경동시장),TEENS,96523.0
경동광성상가(경동시장),TWENTIES,728497.0
경동광성상가(경동시장),THIRTIES,2786830.0
경동광성상가(경동시장),FORTIES,16376802.0
경동광성상가(경동시장),FIFTIES,10402230.0
경동광성상가(경동시장),SIXTIES_PLUS,25054733.0
경동시장,TEENS,1792881.0
경동시장,TWENTIES,200073655.0
경동시장,THIRTIES,482927218.0
경동시장,FORTIES,537624593.0
경동시장,FIFTIES,681437672.0
경동시장,SIXTIES_PLUS,964815589.0
경리단길남측,TEENS,54694548.0
경리단길남측,TWENTIES,2502000225.0
경리단길남측,THIRTIES,6770189125.0
경리단길남측,FORTIES,2957618747.0
경리단길남측,FIFTIES,2483212230.0
경리단길남측,SIXTIES_PLUS,2496209644.0
경리단길북측,TEENS,126047494.0
경리단길북측,TWENTIES,4935292154.0
경리단길북측,THIRTIES,7469373801.0
경리단길북측,FORTIES,3550990689.0
경리단길북측,FIFTIES,2330516792.0
경리단길북측,SIXTIES_PLUS,1198997941.0
경문고등학교(동작동성당),TEENS,947311.0
경문고등학교(동작동성당),TWENTIES,12177355.0
경문고등학교(동작동성당),THIRTIES,44928748.0
경문고등학교(동작동성당),FORTIES,43728460.0
경문고등학교(동작동성당),FIFTIES,66017150.0
경문고등학교(동작동성당),SIXTIES_PLUS,39822989.0
경복고등학교,TEENS,3717619.0
경복고등학교,TWENTIES,52009115.0
경복고등학교,THIRTIES,199903779.0
경복고등학교,FORTIES,277997006.0
경복고등학교,FIFTIES,406355102.0
경복고등학교,SIXTIES_PLUS,414509789.0
경복아파트교차로,TEENS,5792279.0
경복아파트교차로,TWENTIES,1190618400.0
경복아파트교차로,THIRTIES,3248421136.0
경복아파트교차로,FORTIES,2670272054.0
경복아파트교차로,FIFTIES,1775971230.0
경복아파트교차로,SIXTIES_PLUS,543124211.0
경성고등학교,TEENS,30877608.0
경성고등학교,TWENTIES,1784196660.0
경성고등학교,THIRTIES,3752359485.0
경성고등학교,FORTIES,3226181491.0
경성고등학교,FIFTIES,3102019410.0
경성고등학교,SIXTIES_PLUS,1831840965.0
경수초등학교,TEENS,417607785.0
경수초등학교,TWENTIES,5510888489.0
경수초등학교,THIRTIES,5294759569.0
경수초등학교,FORTIES,3075420528.0
경수초등학교,FIFTIES,2238567321.0
