commercial_area,dinner_sales,total_sales,total_shops,dinner_per_shop,total_per_shop,dinner_index
연신초등학교,407371723.0,780370631.0,276.0,1475984.5036231885,2827429.822463768,0.5220233909597246
KT구로지사,1307578592.0,2510245976.0,420.0,3113282.3619047618,5976776.133333334,0.520896599178534
수유시장옆,1623919095.0,3118683713.0,588.0,2761767.1683673467,5303883.865646259,0.5207065686817853
돈암시장(돈암제일시장),4581756430.0,8866577468.0,1212.0,3780327.087458746,7315657.9768976895,0.5167446454436144
홍제역 4번,3413665297.0,6614128932.0,498.0,6854749.592369478,13281383.397590362,0.5161171383406592
삼성중앙역 5번,21500177325.0,41722861874.0,342.0,62866015.57017544,121996672.14619882,0.5153092659350399
전농119안전센터,509645710.0,989409379.0,162.0,3145961.172839506,6107465.302469136,0.5151009489268243
쌍문초등학교,531389584.0,1033482083.0,570.0,932262.4280701755,1813126.4614035087,0.5141739685099118
후암시장,2371808025.0,4614775260.0,606.0,3913874.628712871,7615140.693069307,0.5139595952934878
서울독일학교,6129765021.0,11928550872.0,690.0,8883717.421739131,17287754.88695652,0.5138734022913426
정원여중,248564342.0,484405734.0,102.0,2436905.31372549,4749075.823529412,0.5131325344716088
금북초등학교,150166828.0,292807263.0,144.0,1042825.1944444445,2033383.7708333333,0.5128521282615862
방천골목시장,1183116181.0,2317542123.0,480.0,2464825.377083333,4828212.75625,0.5105047149988738
상왕십리역 3번,5016162907.0,9835016431.0,936.0,5359148.40491453,10507496.186965812,0.510030963566979
양재시장,2862700817.0,5628811185.0,414.0,6914736.27294686,13596162.282608695,0.5085800043584159
만리재,660546168.0,1299094822.0,552.0,1196641.608695652,2353432.6485507246,0.5084664774377801
행당시장상점가,16518026425.0,32532083609.0,2520.0,6554772.390873016,12909556.987698413,0.5077457264504966
신길동홍어거리,721437171.0,1424016802.0,294.0,2453867.9285714286,4843594.56462585,0.5066212491220311
러스크서울병원,2901050523.0,5736741190.0,726.0,3995937.359504132,7901847.369146005,0.5056966014184091
한아름시장,519222732.0,1026852195.0,120.0,4326856.1,8557101.625,0.5056450524508057
신길역 3번,347075426.0,686987080.0,198.0,1752906.191919192,3469631.717171717,0.5052139059150865
KT&G 북부지사,932835437.0,1850028585.0,222.0,4201961.427927928,8333462.094594595,0.5042275803538463
목동역 5번,1454234560.0,2888271176.0,288.0,5049425.555555556,10028719.361111112,0.5034965456443
증산역 1번,3171965666.0,6304406824.0,816.0,3887212.8259803923,7725988.7549019605,0.5031346730234426
수색성당,1012937951.0,2021731571.0,108.0,9379055.101851853,18719736.76851852,0.5010249459076187
선사초등학교,456026545.0,914020910.0,126.0,3619258.293650794,7254134.206349206,0.49892353666175976
신당역 3번,4884577097.0,9794302844.0,1482.0,3295935.9628879894,6608841.325236168,0.49871615926112567
신정1동 골목시장(신정제일시장),1527876202.0,3068320895.0,678.0,2253504.7227138644,4525547.042772861,0.49795189430471876
신곡종합시장(신월6동 골목시장),1259833384.0,2531668483.0,366.0,3442167.7158469944,6917127.002732241,0.4976296827407319
봉은사역 4번,1648959154.0,3316032143.0,204.0,8083133.107843137,16255059.524509804,0.49726874857979925
신대림초등학교,352330223.0,708853932.0,90.0,3914780.2555555557,7876154.8,0.4970420662066667
태릉시장 특화거리,3666199637.0,7389524040.0,1398.0,2622460.398426323,5285782.575107296,0.4961347465891727
구로119안전센터,938045246.0,1891017070.0,534.0,1756639.0374531834,3541230.468164794,0.49605329369131496
고척골목시장상점가(그라운드 고척),1328675032.0,2687315786.0,360.0,3690763.9777777777,7464766.072222223,0.49442459978910713
동구여중,4250549377.0,8600101710.0,546.0,7784888.968864469,15751102.032967033,0.4942440822598132
장안제일시장,4026319007.0,8150393163.0,978.0,4116890.600204499,8333735.340490798,0.49400304089355007
응암역 2번,1190583750.0,2411491793.0,540.0,2204784.722222222,4465725.542592593,0.4937125448471306
목2동시장,9566635898.0,19382207195.0,1218.0,7854380.86863711,15913142.196223317,0.4935782494610774
아현가구거리상점가,1242043391.0,2517803947.0,270.0,4600160.707407407,9325199.803703703,0.493304251301978
수유북부시장옆,553832637.0,1122831718.0,582.0,951602.469072165,1929264.1202749142,0.49324634147892854
개봉3동주민센터,153532145.0,311469664.0,228.0,673386.600877193,1366095.0175438595,0.49292808496431945
봉일시장,319626977.0,648714379.0,144.0,2219631.784722222,4504960.965277778,0.4927083279589213
삼각산119안전센터,978613362.0,1986532926.0,144.0,6795926.125,13795367.541666666,0.4926237814595377
황학코아루아파트,3097497638.0,6287851463.0,180.0,17208320.21111111,34932508.12777778,0.4926162229223766
대림썬프라자,546733351.0,1113041443.0,366.0,1493806.969945355,3041096.838797814,0.4912066432372725
금남시장,4204294252.0,8566473186.0,1014.0,4146246.7968441816,8448198.408284023,0.4907847326097964
마장축산물시장,9160445406.0,18686897347.0,1812.0,5055433.447019868,10312857.255518764,0.4902068671913917
만리시장,412517587.0,841773670.0,294.0,1403121.044217687,2863175.7482993198,0.49005760301340856
능동로골목시장,2827631144.0,5771276554.0,744.0,3800579.494623656,7757092.142473118,0.4899489943936587
덕수교,1533523419.0,3130994475.0,312.0,4915139.163461538,10035238.701923076,0.4897879671282397
불광역 3번,1940734899.0,3964969648.0,396.0,4900845.704545454,10012549.616161617,0.4894703040107609
KT월곡지사,1707143298.0,3487804704.0,378.0,4516252.111111111,9226996.57142857,0.4894606902852552
이수역 10번,1916088002.0,3918022851.0,636.0,3012716.9842767296,6160413.287735849,0.48904462145006516
열정도,7349480130.0,15051885964.0,624.0,11778013.028846154,24121612.121794872,0.48827636268159014
샘말어린이공원,211326615.0,434109000.0,216.0,978363.9583333334,2009763.888888889,0.4868054221405223
상도전통시장,4246613885.0,8745322271.0,1044.0,4067637.820881226,8376745.470306514,0.48558689473137195
광진경찰서,236742504.0,487967788.0,66.0,3587007.6363636362,7393451.333333333,0.48516010651096503
길동복조리시장,2045133032.0,4217499103.0,630.0,3246242.907936508,6694443.02063492,0.4849160561872442
난곡초등학교(난곡동벽화마을),1123002756.0,2316619572.0,240.0,4679178.15,9652581.55,0.48475924557197864
중계초등학교,818892328.0,1692146645.0,108.0,7582336.37037037,15668024.49074074,0.48393697462314206
답십리 건축자재시장,59480320.0,123110434.0,72.0,826115.5555555555,1709867.138888889,0.48314605080508444
신길2동우편취급국,3748611740.0,7768836147.0,702.0,5339902.763532763,11066718.158119658,0.4825190889690159
강북북부골목시장,386523325.0,801376901.0,216.0,1789459.837962963,3710078.2453703703,0.48232401572552935
청량종합도매시장,245641488.0,509299584.0,516.0,476049.3953488372,987014.6976744186,0.48231236725298404
대림한신아파트,254225086.0,527374649.0,432.0,588483.9953703703,1220774.650462963,0.48205784347438363
고척근린시장,2806413111.0,5822490439.0,594.0,4724601.196969697,9802172.456228957,0.481995314616952
건대입구역 6번,9575773673.0,19925750464.0,3204.0,2988693.406054931,6219023.240948814,0.4805727990170619
보문역 5번,2036482446.0,4238653747.0,918.0,2218390.4640522874,4617269.876906318,0.4804550141519262
신풍역 1번,7096751166.0,14793189215.0,684.0,10375367.201754386,21627469.6125731,0.4797309804436244
송파나루역 2번,14695321226.0,30689401709.0,1398.0,10511674.696709584,21952361.737482116,0.47884026431477933
유진상가,1049611100.0,2199885670.0,120.0,8746759.166666666,18332380.583333332,0.47712074964332124
암사종합시장,5966587122.0,12518401608.0,1056.0,5650177.198863637,11854546.977272727,0.4766253159817942
청룡동주민센터,764769812.0,1604901603.0,384.0,1991588.0520833333,4179431.2578125,0.47652130857769476
달마을공원,1628369806.0,3419906929.0,558.0,2918225.458781362,6128865.464157706,0.4761444798955814
반포4동주민센터(몽마르뜨공원),2045455503.0,4298172438.0,48.0,42613656.3125,89545259.125,0.47588958621487487
연신내역 2번,1962040073.0,4123732206.0,756.0,2595291.1018518517,5454672.23015873,0.47579231021482093
서교시장,842190763.0,1771896923.0,96.0,8772820.447916666,18457259.614583332,0.4753046026933024
NH농협은행 상도동지점,5686848400.0,11968170099.0,834.0,6818763.069544365,14350323.85971223,0.4751644029921637
정릉골 골목형상점가,1070509594.0,2256262566.0,540.0,1982425.174074074,4178264.011111111,0.47446144350914166
동의초등학교,268579974.0,566611115.0,192.0,1398854.03125,2951099.5572916665,0.47401112842623994
정릉북한산국립공원입구,339458109.0,716974609.0,72.0,4714695.958333333,9957980.680555556,0.4734590384915569
정릉역 1번,3571718285.0,7551603742.0,1440.0,2480359.920138889,5244169.265277778,0.4729748020456977
"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",410243065.0,867667967.0,240.0,1709346.1041666667,3615283.1958333333,0.47281112199915987
뚝도시장,6758973305.0,14311609327.0,2094.0,3227780.947946514,6834579.430276982,0.47227206602465416
답십리초등학교,3679129219.0,7791600399.0,1158.0,3177140.9490500866,6728497.7538860105,0.47219172321416686
장충동주민센터,506652995.0,1074159723.0,192.0,2638817.6822916665,5594581.890625,0.4716737968772266
새절역 2번,1740979869.0,3693413044.0,426.0,4086807.204225352,8669983.671361502,0.4713742677191888
우리은행체육관,1334427052.0,2833307338.0,528.0,2527323.962121212,5366112.382575758,0.4709785747923686
군자역 5번,2630923125.0,5586349185.0,570.0,4615654.605263158,9800612.605263159,0.4709557240110116
삼성산자연공원(서울금천초등학교),712686867.0,1513342393.0,474.0,1503558.7911392406,3192705.470464135,0.4709356390837589
"동원전통종합시장(동원시장, 동원전통시장 상점가)",18638937196.0,39617992823.0,2898.0,6431655.3471359555,13670804.976880608,0.47046646909328704
천호초등학교,450322076.0,957969422.0,144.0,3127236.638888889,6652565.430555556,0.47007980177471675
문래역(문래로데오거리),14692204256.0,31300864104.0,864.0,17004866.037037037,36227851.972222224,0.4693865385691526
흑리단길,3974571621.0,8473634632.0,996.0,3990533.756024096,8507665.293172691,0.4690515692038868
새절역 3번,1550645943.0,3306231251.0,678.0,2287088.4115044246,4876447.272861357,0.46900710364134174
오류2동버들시장,6417093306.0,13692943557.0,2250.0,2852041.4693333334,6085752.692,0.4686423543109914
독산역 1번 출입구,684072977.0,1459942145.0,162.0,4222672.697530864,9011988.549382716,0.4685617024912997
연천초등학교,217182663.0,463620113.0,186.0,1167648.7258064516,2492581.2526881723,0.46844961404856045
경문고등학교(동작동성당),99567736.0,212597397.0,54.0,1843846.962962963,3936988.8333333335,0.4683393936380133
은평세무서,5961351335.0,12729436453.0,1146.0,5201877.255671903,11107710.691972077,0.4683122742323022
동대문역 1번,1335387370.0,2855879415.0,708.0,1886140.3531073446,4033727.9872881356,0.46759235105870184
신금호역 4번,899250304.0,1924903260.0,384.0,2341797.6666666665,5012768.90625,0.4671664923046574
도곡2동주민센터(대치중학교),186461375.0,399286729.0,90.0,2071793.0555555555,4436519.211111112,0.46698615670745214
덕의초등학교,1100535279.0,2358514874.0,834.0,1319586.665467626,2827955.48441247,0.4666221490193579
공항고등학교,735785923.0,1577937935.0,426.0,1727197.0023474179,3704079.659624413,0.4662958578278936
강서구청옆,2757378581.0,5919346422.0,618.0,4461777.639158576,9578230.45631068,0.46582483680155184
석계역 7번,20338738613.0,43709965480.0,2646.0,7686598.115268329,16519261.330309901,0.4653112485825738
둔촌역전통시장,3791015422.0,8148216398.0,1212.0,3127900.51320132,6722950.823432343,0.46525708656074893
아현시장,2007127325.0,4315178920.0,1248.0,1608275.1001602565,3457675.4166666665,0.46513188959497426
신영시장,1847982407.0,3974048761.0,1152.0,1604151.3949652778,3449695.105034722,0.4650125144752848
삼양입구사거리,3043262210.0,6545890335.0,1200.0,2536051.841666667,5454908.6125,0.46491188428991614
회기시장,1945290391.0,4187949780.0,1002.0,1941407.5758483035,4179590.598802395,0.46449706734544466
신동시장,14178580.0,30589550.0,36.0,393849.44444444444,849709.7222222222,0.46351057795881273
장승배기역 4번,4487809553.0,9688421361.0,1386.0,3237957.8304473306,6990203.002164503,0.46321370487304925
천호1동주민센터,231555873.0,499942382.0,702.0,329851.67094017094,712168.6353276353,0.46316511929568716
신풍역 3번,675528818.0,1459326848.0,288.0,2345586.173611111,5067107.111111111,0.46290439933028626
화곡본동시장,5800836672.0,12534828255.0,822.0,7056978.919708029,15249182.791970802,0.46277751509567855
홍제역 2번,1293518945.0,2796386095.0,612.0,2113593.047385621,4569258.325163399,0.4625680793195333
용강동 상점가,22708300370.0,49105657568.0,2286.0,9933639.706911637,21481040.055993002,0.4624375580054955
마곡역(마곡),22071989647.0,47737452710.0,2862.0,7712085.830538086,16679752.86862334,0.462362115990667
목동센트럴아이파크앞,2679412901.0,5797917440.0,552.0,4854008.8786231885,10503473.623188406,0.4621336762256483
오산중학교,1971234269.0,4266759811.0,378.0,5214905.473544974,11287724.367724868,0.46199794605687033
영등포역 2번,3008371973.0,6513424420.0,1146.0,2625106.4336823733,5683616.422338569,0.46187255413028955
경의중앙 신촌역,2988355677.0,6471428635.0,684.0,4368941.048245614,9461152.975146199,0.4617768108942455
경희대삼거리,6932337238.0,15013125878.0,2736.0,2533748.990497076,5487253.610380117,0.4617517560522515
장충단 고개,4831891255.0,10478682172.0,888.0,5441318.980855856,11800317.761261262,0.4611163098267506
인헌고등학교(인헌중학교),971685258.0,2107430446.0,666.0,1458986.8738738738,3164309.978978979,0.46107583756526976
문정역 2번,5784915199.0,12547616525.0,1152.0,5021627.776909722,10892028.233506944,0.46103697761834495
태능엔터피아(태릉시장),226975936.0,492583920.0,96.0,2364332.6666666665,5131082.5,0.4607863285508792
신구중학교,5516234530.0,11976513934.0,72.0,76614368.47222222,166340471.30555555,0.46058766018215197
신월1동주민센터,2259574932.0,4910157904.0,1158.0,1951273.689119171,4240205.4438687395,0.46018376112899845
면목골목시장(면목시장),5631384207.0,12241238592.0,1872.0,3008218.059294872,6539123.179487179,0.4600338572503825
동대문역 3번,1151151064.0,2503369039.0,360.0,3197641.8444444444,6953802.886111111,0.45984073704923695
한울중학교,2816900187.0,6129865367.0,1038.0,2713776.6734104045,5905457.964354528,0.45953704010608815
창동골목시장,3063124496.0,6666739505.0,978.0,3132029.137014315,6816707.060327198,0.4594636544149778
한일병원,722188400.0,1572536994.0,162.0,4457953.086419753,9707018.481481481,0.4592504995147987
장안현대홈타운1차아파트,3174089787.0,6912575602.0,792.0,4007689.125,8727999.497474747,0.4591761406676909
온수역 1번,401102714.0,874377336.0,120.0,3342522.6166666667,7286477.8,0.45872954099533064
광산사거리,2085560040.0,4548727477.0,696.0,2996494.3103448274,6535527.984195402,0.4584930731826298
장훈고등학교,2849848975.0,6224420029.0,420.0,6785354.702380952,14820047.688095238,0.45784972121456424
사당역 10번,14903559985.0,32647742482.0,3576.0,4167662.188199105,9129681.90212528,0.4564958815518998
암사역,20077730779.0,43994576926.0,2394.0,8386687.877610694,18377016.259816207,0.45636831132098976
송천동주민센터,117177533.0,256869792.0,72.0,1627465.736111111,3567636.0,0.4561748272837002
대신고등학교,1144742181.0,2510478607.0,96.0,11924397.71875,26150818.822916668,0.45598563469455605
하나은행 망우동지점,5072996214.0,11155121219.0,900.0,5636662.46,12394579.132222222,0.4547683628358427
호림박물관(성보고등학교),172359923.0,379068920.0,270.0,638370.0851851852,1403958.962962963,0.45469283791454074
용산세무서,375026823.0,825116515.0,78.0,4808036.192307692,10578416.858974358,0.45451377615438954
고덕동성당,4059268117.0,8934613754.0,1014.0,4003222.9950690335,8811256.16765286,0.4543305652337436
누원고등학교,954113080.0,2103088386.0,144.0,6625785.277777778,14604780.458333334,0.4536723641057661
난우초등학교,3043980743.0,6716111813.0,912.0,3337698.183114035,7364157.6896929825,0.4532355666128038
한국SGI본부,20170670048.0,44504380531.0,3096.0,6515074.304909561,14374799.913113695,0.45322886887392816
신원시장,2702020228.0,5961920510.0,1272.0,2124229.738993711,4687044.426100629,0.4532130583539095
강남골목시장,1446790662.0,3196423717.0,306.0,4728074.05882353,10445829.140522875,0.4526279336201034
상일여고(상일초등학교),14766691933.0,32626209574.0,4008.0,3684304.374500998,8140271.8498003995,0.4526021295703211
석수역 1번 출입구,2469377929.0,5456934505.0,552.0,4473510.740942029,9885750.914855072,0.45252108610381797
장위전통시장,515064168.0,1140468720.0,360.0,1430733.8,3167968.6666666665,0.45162498450637034
화곡초등학교,2314872587.0,5129777662.0,678.0,3414266.3525073747,7566043.749262537,0.451261777707823
효창공원앞역 6번,672585491.0,1491781922.0,546.0,1231841.5586080586,2732201.322344322,0.4508604649788751
쌍문역동측상점가,7984558006.0,17710312822.0,1254.0,6367271.137161084,14123056.476874003,0.4508422909436963
오동나무공원(송파레미니스1단지),2826224410.0,6269654286.0,744.0,3798688.7231182796,8426954.685483871,0.45077834934390193
솔밭공원역 2번,2039159109.0,4525128452.0,810.0,2517480.3814814813,5586578.335802469,0.4506301048976277
상월곡역 2번,2210051294.0,4909179871.0,630.0,3508017.926984127,7792349.0015873015,0.45018747572388557
신진과학기술고등학교,874001152.0,1942210946.0,270.0,3237041.303703704,7193373.874074074,0.4500032057794818
낙성대역 1번(관악구민 종합체육센터),3268569596.0,7265998063.0,870.0,3756976.5471264366,8351721.911494253,0.4498445454650267
화곡역 2번,480775962.0,1069166047.0,672.0,715440.4196428572,1591020.9032738095,0.44967380263245493
자양골목전통시장(자양골목시장),2124676063.0,4726099318.0,924.0,2299432.9686147184,5114826.101731602,0.449562296523875
방화역 3번,4664096296.0,10386776156.0,594.0,7852013.966329967,17486155.144781146,0.44904176483150154
난곡 골목형상점가,165681236.0,369081479.0,72.0,2301128.277777778,5126131.652777778,0.44890151748850016
송파나루역 1번(송리단길),21410476419.0,47746696452.0,6858.0,3121970.8980752407,6962189.6255468065,0.4484179641731667
오거리공원,1556099987.0,3472862971.0,1440.0,1080624.9909722223,2411710.396527778,0.44807411060964664
방이역 1번,6879958398.0,15376170393.0,918.0,7494508.05882353,16749640.950980391,0.4474429082245408
시흥3동 우편취급국,198242618.0,444428240.0,72.0,2753369.6944444445,6172614.444444444,0.4460621539261322
행당역 2번,3436498051.0,7705937278.0,666.0,5159906.983483483,11570476.393393394,0.44595458372221647
광흥창역 1번,488386455.0,1095732114.0,336.0,1453531.1160714286,3261107.4821428573,0.44571702221734827
자양한강도서관,4484842821.0,10062407814.0,1164.0,3852957.75,8644680.25257732,0.44570274867613313
동의보감타워,2696520176.0,6051757716.0,588.0,4585918.666666667,10292104.959183674,0.4455763602152773
중곡초등학교,1685961134.0,3784511023.0,930.0,1812861.434408602,4069366.6913978495,0.4454898198878888
종암아이파크2차,1559859687.0,3502194001.0,804.0,1940123.9888059702,4355962.687810945,0.4453949971231191
한국폴리텍대학서울정수캠퍼스,2176991963.0,4888997654.0,582.0,3740536.0189003437,8400339.61168385,0.445283904200458
영신초등학교,5578595846.0,12532840493.0,1572.0,3548725.092875318,7972544.842875318,0.4451182354962411
명일역,22682636520.0,50981081414.0,3816.0,5944087.13836478,13359822.173480084,0.4449226240573838
대원고등학교,879438611.0,1977084333.0,180.0,4885770.061111111,10983801.85,0.444815932391489
이수역 9번,2419231974.0,5440603391.0,984.0,2458569.0792682925,5529068.486788617,0.44466243909673
상도역 2번,424183751.0,954060147.0,426.0,995736.5046948356,2239577.8098591547,0.4446090242149062
등마루시장,432035873.0,971760298.0,96.0,4500373.677083333,10122503.104166666,0.4445909900715042
방학1동주민센터,4615695509.0,10389510142.0,2070.0,2229804.593719807,5019087.025120773,0.44426497937962167
동대부여고,2099542025.0,4726186262.0,1020.0,2058374.5343137255,4633515.943137255,0.4442359883022317
중랑노인종합복지관,3734627621.0,8409699024.0,1962.0,1903479.9291539246,4286289.003058104,0.44408576458467086
우림골목시장,8080257229.0,18215905647.0,2190.0,3689615.1730593606,8317765.135616438,0.4435825144016788
시흥동 은행나무사거리,3290997964.0,7429132566.0,948.0,3471516.839662447,7836637.727848101,0.4429854945732839
당산역,33591192828.0,75833543902.0,4530.0,7415274.354966887,16740296.667108167,0.442959554566117
돌곶이역 3번,1129366940.0,2550218920.0,144.0,7842825.972222222,17709853.611111112,0.4428509768878979
강동역 4번(강풀만화거리),9702304481.0,21924118870.0,3384.0,2867111.253250591,6478758.531323877,0.44254022424026385
상계역,21547732208.0,48702536953.0,3366.0,6401584.137849079,14468965.22667855,0.442435518888769
당고개역 2번,1372395775.0,3105068691.0,882.0,1556004.2800453515,3520486.044217687,0.4419856407614655
개웅초등학교(개웅중학교),612341973.0,1385462660.0,498.0,1229602.3554216868,2782053.5341365463,0.4419765257332883
개봉초등학교,672599680.0,1522335086.0,516.0,1303487.7519379845,2950261.7945736432,0.4418210459612307
관악우성아파트,898355765.0,2033483262.0,510.0,1761481.8921568627,3987222.0823529414,0.44178173569839785
사당1동먹자골목상점가(사당1동먹자골목),25715588036.0,58319202443.0,2310.0,11132289.193073593,25246407.983982682,0.44094546836668236
"중곡제일시장(중곡제일골목시장, 광성시장)",3877538476.0,8796109752.0,1632.0,2375942.693627451,5389773.132352941,0.4408242490515028
공릉동 국수거리,4841763155.0,10984313673.0,2094.0,2312207.810410697,5245613.024355301,0.4407888648428986
면목역 3번,2111771639.0,4791774322.0,720.0,2933016.1652777777,6655242.113888889,0.440707657976385
서울북부고용노동지청,1120834065.0,2543316959.0,312.0,3592416.875,8151656.919871795,0.44069775142800044
신길새마을금고신길4동지점,157442531.0,357401694.0,210.0,749726.3380952381,1701912.8285714285,0.44051982305377657
석촌고분역 4번,2737546469.0,6214659237.0,594.0,4608664.089225589,10462389.287878787,0.44049824207602006
신길3동주민센터,1815528894.0,4122491570.0,792.0,2292334.462121212,5205166.123737373,0.44039602341745965
암사역 1번,4110551852.0,9335642785.0,2178.0,1887305.7171717172,4286337.366850321,0.44030731966358116
서울대입구역 8번,1442900853.0,3280736352.0,468.0,3083121.480769231,7010120.41025641,0.439810060360498
